"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"NYM","91","71","41","430","162","1440.0","7.61","2.78","0.74",".290","72.8%","","","","3.43","","3.17","","24.4"
"BOS","88","74","44","485","162","1442.0","6.22","3.24","0.57",".298","71.4%","","","","3.72","","3.43","","23.6"
"CIN","91","71","50","478","162","1456.1","6.36","3.36","0.77",".276","75.7%","","","","3.40","","3.69","","21.2"
"CAL","80","82","42","431","162","1454.0","5.84","3.37","0.66",".300","70.9%","","","","3.81","","3.66","","20.2"
"SEA","77","85","41","473","162","1443.1","6.63","3.78","0.75",".277","71.5%","","","","3.72","","3.76","","19.5"
"STL","70","92","39","526","162","1443.1","5.19","2.96","0.61",".284","68.9%","","","","3.88","","3.59","","17.5"
"TOR","86","76","48","479","162","1454.0","5.52","2.75","0.89",".282","73.1%","","","","3.84","","3.85","","17.4"
"CHW","94","68","68","529","162","1449.1","5.68","3.40","0.66",".270","72.3%","","","","3.61","","3.71","","16.4"
"TEX","83","79","36","464","162","1444.2","6.21","3.88","0.70",".279","71.0%","","","","3.83","","3.83","","16.3"
"MON","85","77","50","503","162","1473.1","6.05","3.12","0.78",".271","75.6%","","","","3.37","","3.70","","14.5"
"OAK","103","59","64","465","162","1456.0","5.14","3.05","0.76",".256","75.7%","","","","3.18","","3.84","","14.5"
"SDP","75","87","35","450","162","1461.2","5.71","3.12","0.91",".280","73.4%","","","","3.68","","3.93","","14.4"
"MIN","74","88","43","472","162","1435.2","5.47","3.07","0.84",".298","70.5%","","","","4.14","","3.89","","14.4"
"LAD","86","76","29","501","162","1442.0","6.37","2.98","0.86",".278","70.6%","","","","3.74","","3.68","","14.1"
"KCR","75","86","33","473","161","1420.2","6.37","3.55","0.73",".299","71.1%","","","","3.93","","3.73","","13.9"
"PIT","95","67","43","526","162","1447.0","5.27","2.57","0.84",".270","73.5%","","","","3.40","","3.77","","13.8"
"MIL","74","88","42","502","162","1445.0","4.80","2.92","0.75",".294","68.8%","","","","4.11","","3.88","","13.6"
"CHC","77","85","42","508","162","1442.2","5.47","3.57","0.75",".294","68.8%","","","","4.34","","3.93","","13.1"
"ATL","65","97","30","508","162","1429.2","5.90","3.64","0.81",".302","67.1%","","","","4.58","","3.93","","13.0"
"NYY","67","95","41","504","162","1444.2","5.66","3.85","0.90",".284","70.8%","","","","4.23","","4.18","","10.7"
"HOU","75","87","37","510","162","1450.0","5.30","3.08","0.81",".274","72.9%","","","","3.62","","3.90","","8.5"
"CLE","77","85","47","463","162","1427.1","5.42","3.27","1.03",".289","72.1%","","","","4.27","","4.26","","8.1"
"SFG","85","77","45","497","162","1446.1","4.90","3.44","0.82",".284","71.8%","","","","4.08","","4.09","","7.8"
"PHI","77","85","35","536","162","1449.0","5.22","4.04","0.77",".272","70.6%","","","","4.09","","4.17","","7.8"
"BAL","76","85","43","518","161","1435.1","4.87","3.37","1.01",".276","73.3%","","","","4.07","","4.34","","7.4"
"DET","79","83","45","462","162","1430.1","5.39","4.16","0.97",".276","71.5%","","","","4.39","","4.49","","6.4"
