"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"BOS","6515","119","112","104","106","109","114","116","106","100","95","106","107","96","93"
"NYY","6364","124","94","99","104","105","112","116","95","94","103","100","103","100","95"
"CLE","6452","111","96","102","104","102","109","103","102","101","100","100","101","99","99"
"STL","6297","96","105","103","101","105","107","109","103","103","98","100","96","102","104"
"DET","6285","97","111","101","99","103","106","108","103","104","96","102","103","98","96"
"SFG","6466","121","83","100","105","100","105","100","97","96","101","101","104","103","91"
"BAL","6431","97","90","104","102","99","103","92","103","105","99","99","103","101","94"
"SDP","6313","99","88","101","100","95","103","84","101","102","100","99","92","107","105"
"ANA","6296","84","91","104","101","99","103","90","104","103","103","95","97","101","104"
"OAK","6459","111","100","100","101","100","102","99","100","103","95","104","102","97","100"
"CHW","6197","95","102","99","98","105","101","116","96","98","93","109","100","93","108"
"PHI","6456","110","107","99","101","101","100","105","100","104","97","101","100","103","97"
"ATL","6339","102","112","100","101","99","100","98","104","100","105","94","98","102","102"
"CHC","6281","86","105","99","96","105","98","114","98","103","96","103","106","91","100"
"HOU","6269","104","98","99","100","100","98","101","98","101","96","104","101","97","102"
"LAD","6244","95","107","97","97","97","97","96","98","94","104","99","96","109","97"
"MIN","6286","96","96","98","98","99","97","101","97","93","106","97","103","96","98"
"TEX","6256","94","107","98","97","105","95","117","97","103","90","111","98","101","102"
"FLA","6160","90","96","98","97","93","94","85","99","97","103","98","97","97","107"
"COL","6333","99","114","102","101","104","93","108","105","97","103","98","96","99","107"
"SEA","6362","91","102","100","98","91","93","77","103","98","108","91","89","107","111"
"CIN","6278","105","130","93","97","96","92","100","99","101","102","97","102","99","98"
"TOR","6178","98","107","96","97","93","88","88","99","109","106","89","93","107","103"
"NYM","6209","91","114","92","93","94","88","95","95","98","98","104","97","100","104"
"TBD","6098","91","95","95","95","93","87","90","95","93","103","100","99","103","99"
"PIT","6115","75","107","97","94","92","85","84","100","94","111","90","100","102","98"
"MIL","6195","96","130","92","94","89","82","83","101","101","103","95","98","99","104"
"KCR","6153","88","105","96","95","92","82","85","98","93","105","98","100","100","100"
"MON","6138","89","92","92","92","90","77","85","91","95","104","98","100","100","101"
"ARI","6114","80","102","94","91","90","74","84","96","100","102","97","95","105","103"
