"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"TEX","6441","105","109","104","104","107","112","115","105","","","","","",""
"PIT","6269","112","98","102","104","103","109","105","102","","","","","",""
"MIN","6218","96","81","108","105","106","107","104","104","","","","","",""
"DET","6359","124","126","95","101","105","106","126","96","","","","","",""
"MIL","6311","99","86","104","102","100","104","93","103","","","","","",""
"CHW","6360","108","95","101","102","99","104","96","100","","","","","",""
"OAK","6192","117","107","95","101","98","104","105","95","","","","","",""
"BAL","6257","95","105","97","97","101","101","109","97","","","","","",""
"BOS","6259","107","88","103","103","102","100","98","102","","","","","",""
"CIN","6134","90","112","100","98","104","100","113","101","","","","","",""
"ATL","6182","103","100","100","101","102","99","105","100","","","","","",""
"KCR","6244","95","105","102","100","100","99","96","104","","","","","",""
"TOR","6167","91","114","99","98","101","98","106","102","","","","","",""
"LAD","6159","107","106","98","100","93","97","83","100","","","","","",""
"SFG","6098","88","109","96","95","99","96","105","96","","","","","",""
"SEA","6237","106","88","98","100","97","95","95","96","","","","","",""
"NYY","6140","87","95","98","96","98","94","98","96","","","","","",""
"NYM","6077","108","89","95","98","94","94","94","92","","","","","",""
"STL","6020","100","97","99","99","93","92","80","101","","","","","",""
"CAL","6050","84","103","98","96","95","91","88","100","","","","","",""
"CHC","6130","82","98","98","95","101","90","107","95","","","","","",""
"MON","6035","91","119","95","95","93","88","87","100","","","","","",""
"HOU","6147","93","114","95","95","90","88","80","100","","","","","",""
"SDP","6057","94","120","95","95","94","87","92","99","","","","","",""
"PHI","6133","91","114","94","93","93","85","91","96","","","","","",""
"CLE","6070","84","99","98","95","89","85","71","100","","","","","",""
