"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"CIN","90","72","55","519","162","1449.2","6.58","2.92","0.68",".286","73.3%","","","","3.46","","3.33","","20.9"
"BOS","73","89","39","490","162","1448.2","5.86","3.32","0.66",".285","71.6%","","","","3.63","","3.63","","20.4"
"MIN","90","72","50","485","162","1453.0","5.72","2.97","0.75",".281","72.2%","","","","3.72","","3.66","","19.8"
"ATL","98","64","41","500","162","1460.0","5.84","3.01","0.55",".273","74.0%","","","","3.14","","3.34","","18.8"
"TOR","96","66","49","446","162","1440.2","5.96","3.38","0.77",".275","71.1%","","","","3.92","","3.80","","18.6"
"TEX","77","85","42","521","162","1460.1","6.37","3.69","0.70",".300","69.6%","","","","4.10","","3.70","","18.3"
"SDP","82","80","46","525","162","1461.1","5.98","2.70","0.68",".290","72.5%","","","","3.58","","3.39","","18.1"
"NYM","72","90","34","495","162","1446.2","6.38","3.00","0.61",".292","71.1%","","","","3.68","","3.32","","17.5"
"BAL","89","73","48","451","162","1464.0","5.20","3.18","0.76",".277","73.2%","","","","3.79","","3.86","","17.4"
"CAL","72","90","42","459","162","1446.0","5.53","3.31","0.81",".289","73.4%","","","","3.84","","3.91","","16.9"
"MIL","92","70","39","500","162","1457.0","4.90","2.69","0.78",".262","74.1%","","","","3.43","","3.82","","16.2"
"LAD","63","99","29","515","162","1438.0","6.14","3.46","0.51",".290","72.1%","","","","3.41","","3.37","","15.8"
"MON","87","75","49","511","162","1467.2","6.22","3.22","0.56",".270","74.0%","","","","3.25","","3.39","","15.3"
"KCR","72","90","44","502","162","1447.1","5.19","3.18","0.66",".282","71.6%","","","","3.81","","3.73","","15.1"
"NYY","76","86","44","470","162","1452.2","5.27","3.79","0.80",".286","70.5%","","","","4.22","","4.10","","13.3"
"CHW","86","76","52","454","162","1461.2","4.99","3.39","0.76",".271","71.7%","","","","3.84","","4.01","","13.2"
"STL","83","79","47","584","162","1480.0","5.12","2.43","0.72",".271","73.8%","","","","3.38","","3.56","","13.0"
"PIT","96","66","43","516","162","1479.2","5.13","2.77","0.61",".277","74.1%","","","","3.35","","3.51","","12.1"
"CHC","78","84","37","534","162","1469.0","5.52","3.52","0.66",".269","73.7%","","","","3.39","","3.77","","11.9"
"OAK","96","66","58","562","162","1447.0","5.24","3.74","0.80",".276","73.5%","","","","3.73","","4.11","","10.1"
"CLE","76","86","46","541","162","1470.0","5.45","3.47","0.97",".288","72.2%","","","","4.11","","4.20","","9.7"
"SFG","72","90","30","548","162","1461.0","5.71","3.09","0.79",".277","73.2%","","","","3.61","","3.76","","9.5"
"SEA","64","98","30","534","162","1445.0","5.57","4.12","0.80",".291","69.2%","","","","4.55","","4.20","","9.3"
"HOU","81","81","45","584","162","1459.1","6.03","3.32","0.70",".280","71.8%","","","","3.74","","3.64","","8.0"
"PHI","70","92","34","485","162","1428.0","5.36","3.46","0.71",".279","69.0%","","","","4.13","","3.83","","7.5"
"DET","75","87","36","517","162","1435.2","4.34","3.54","0.97",".287","69.8%","","","","4.61","","4.46","","6.1"
