"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"ATL","101","61","3.18","536","162","21","10","37","","","1465.2","6057","1319","581","518","111","450","56","31","38","4","1196"
"LAD","88","74","3.63","574","162","6","1","45","","","1459.1","6191","1325","645","588","163","546","36","45","36","14","1232"
"HOU","84","78","3.67","516","162","16","7","37","","","1459.0","6166","1379","660","595","134","511","25","52","46","9","1138"
"FLA","92","70","3.83","566","162","12","4","39","","","1446.2","6223","1353","669","615","131","639","41","63","41","4","1188"
"NYY","96","66","3.84","530","162","11","3","51","","","1467.2","6279","1463","688","627","144","532","41","45","62","10","1165"
"STL","73","89","3.88","561","162","5","0","39","","","1455.2","6222","1422","708","628","124","536","34","59","48","8","1130"
"BAL","98","64","3.91","562","162","8","4","59","","","1461.0","6219","1404","681","635","164","563","31","30","43","4","1139"
"TOR","76","86","3.93","498","162","19","7","34","","","1442.2","6149","1453","694","630","167","497","29","39","54","5","1150"
"NYM","88","74","3.95","538","162","7","3","49","","","1459.1","6210","1452","709","641","160","504","43","47","47","7","982"
"MON","78","84","4.14","552","162","27","12","37","","","1447.0","6189","1365","740","665","149","557","45","63","51","4","1138"
"MIL","78","83","4.23","528","161","6","3","44","","","1427.1","6120","1419","742","671","177","542","25","61","46","5","1016"
"PIT","79","83","4.28","613","162","6","2","41","","","1436.0","6291","1503","760","683","143","560","71","64","61","12","1080"
"CIN","76","86","4.42","585","162","5","0","49","","","1449.0","6264","1408","764","711","173","558","62","77","64","7","1159"
"SFG","90","72","4.43","643","162","5","3","45","","","1446.0","6284","1494","793","712","160","578","57","39","47","10","1044"
"CHC","68","94","4.44","603","162","6","2","37","","","1429.0","6226","1451","759","705","185","590","51","43","35","8","1072"
"ANA","84","78","4.52","562","162","9","3","39","","","1454.2","6365","1506","794","730","202","605","34","54","57","9","1050"
"DET","79","83","4.56","579","162","13","5","42","","","1445.2","6246","1476","790","733","178","552","33","43","51","3","982"
"TEX","77","85","4.70","544","162","8","1","33","","","1429.2","6309","1598","823","747","169","541","40","38","55","6","925"
"KCR","67","94","4.71","554","161","11","2","29","","","1443.0","6277","1530","820","755","186","531","42","54","62","6","961"
"CLE","86","75","4.73","589","161","4","1","39","","","1425.2","6260","1528","815","749","181","575","53","51","59","3","1036"
"CHW","80","81","4.74","550","161","6","1","52","","","1422.1","6262","1505","833","749","175","575","45","32","71","9","961"
"SEA","90","72","4.79","554","162","9","3","38","","","1447.2","6368","1500","833","771","192","598","36","66","57","5","1207"
"BOS","78","84","4.85","579","162","7","3","40","","","1451.2","6440","1569","857","783","149","611","52","70","51","1","987"
"PHI","68","94","4.87","571","162","13","3","35","","","1420.1","6228","1441","840","768","171","616","42","58","73","12","1209"
"SDP","76","86","4.98","588","162","5","0","43","","","1450.0","6429","1581","891","803","172","596","37","61","58","7","1059"
"MIN","68","94","5.02","552","162","10","3","30","","","1434.0","6250","1596","861","800","187","495","31","33","66","6","908"
"COL","83","79","5.25","588","162","9","3","38","","","1432.2","6417","1697","908","836","196","566","23","67","50","6","870"
"OAK","65","97","5.49","642","162","2","0","38","","","1445.1","6600","1734","946","881","197","642","54","64","51","4","953"
