"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"CLE","6554","121","107","105","107","106","112","108","107","","","","","",""
"NYY","6416","119","97","102","105","103","111","104","102","","","","","",""
"TEX","6389","102","93","106","104","109","109","113","103","","","","","",""
"BAL","6409","102","88","101","102","102","107","102","98","","","","","",""
"OAK","6442","127","112","94","102","101","106","113","94","","","","","",""
"NYM","6454","113","96","101","103","98","105","93","101","","","","","",""
"SEA","6310","103","110","98","99","103","105","113","97","","","","","",""
"TOR","6370","97","108","102","101","104","104","107","103","","","","","",""
"SFG","6449","110","100","98","101","98","104","97","99","","","","","",""
"BOS","6321","101","93","101","101","102","102","103","100","","","","","",""
"HOU","6403","116","111","97","101","95","101","91","100","","","","","",""
"ARI","6415","93","102","100","99","103","98","108","99","","","","","",""
"LAD","6338","95","102","96","97","95","97","92","97","","","","","",""
"MIL","6433","104","104","99","100","96","97","91","101","","","","","",""
"CIN","6378","91","110","99","97","102","96","107","100","","","","","",""
"PHI","6386","101","106","100","100","97","96","93","103","","","","","",""
"ATL","6351","97","95","96","97","98","95","101","95","","","","","",""
"KCR","6325","90","94","102","100","98","94","92","103","","","","","",""
"CHW","6264","85","82","101","97","97","94","92","98","","","","","",""
"DET","6096","80","110","95","94","101","92","110","95","","","","","",""
"TBD","6272","92","106","100","99","93","92","83","103","","","","","",""
"STL","6354","98","118","95","96","96","92","97","99","","","","","",""
"SDP","6136","105","119","91","95","89","90","84","96","","","","","",""
"PIT","6234","94","120","94","95","94","88","95","99","","","","","",""
"CHC","6201","94","118","93","94","95","87","97","96","","","","","",""
"MON","6151","72","96","96","92","96","86","97","96","","","","","",""
"FLA","6216","78","115","95","92","89","84","79","101","","","","","",""
"COL","6369","81","85","104","99","106","84","109","100","","","","","",""
"ANA","6132","89","106","93","92","90","80","84","95","","","","","",""
"MIN","6124","87","102","96","94","87","79","73","100","","","","","",""
