"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"ATL","1469.0","113","83","136","75","117","86","94","90","99","101","83","80","","","",""
"CLE","1452.1","103","79","130","88","106","81","98","92","100","102","86","90","","","",""
"KCR","1450.0","92","75","123","90","95","77","100","93","99","102","89","91","","","",""
"MON","1441.1","111","90","123","96","113","92","94","93","97","103","90","94","","","",""
"LAD","1466.1","110","99","112","78","112","100","95","95","99","104","90","91","","","",""
"TEX","1449.1","97","95","103","86","98","96","100","99","101","103","90","94","","","",""
"TOR","1445.2","103","100","103","96","105","102","96","96","97","102","92","97","","","",""
"SDP","1489.0","107","92","116","85","109","94","95","93","97","102","94","91","","","",""
"CHW","1461.0","103","99","103","88","104","100","97","98","99","103","94","96","","","",""
"STL","1452.1","96","100","95","109","97","102","96","96","94","103","95","104","","","",""
"FLA","1443.0","97","112","86","72","97","113","98","100","99","101","95","96","","","",""
"NYY","1440.0","114","100","113","73","116","101","96","96","101","100","95","88","","","",""
"BOS","1458.0","115","117","99","94","112","114","101","106","104","99","98","99","","","",""
"MIL","1447.1","84","104","81","109","84","103","100","101","96","100","100","108","","","",""
"CIN","1443.0","100","111","90","106","100","110","100","103","99","100","102","103","","","",""
"CHC","1456.1","94","101","93","115","94","102","99","100","96","101","103","106","","","",""
"NYM","1440.0","92","100","92","101","91","99","103","103","101","100","103","104","","","",""
"SEA","1431.2","101","100","101","112","101","99","101","101","100","100","104","103","","","",""
"BAL","1468.2","103","96","107","105","103","97","101","100","101","99","105","99","","","",""
"MIN","1439.2","96","95","101","120","96","95","100","99","97","99","105","107","","","",""
"PHI","1423.1","98","97","100","103","98","97","102","101","101","97","105","100","","","",""
"CAL","1439.0","105","109","97","113","104","107","99","102","99","98","106","105","","","",""
"PIT","1453.1","96","89","107","115","95","88","107","104","105","98","107","104","","","",""
"OAK","1456.1","88","104","84","104","87","103","103","104","101","101","107","107","","","",""
"COL","1422.2","87","119","73","127","84","114","109","114","104","93","108","108","","","",""
"HOU","1447.0","107","101","106","97","105","99","104","105","106","100","109","103","","","",""
"SFG","1442.1","92","107","86","123","90","105","104","105","100","97","115","114","","","",""
"DET","1432.2","96","129","75","124","91","122","107","115","104","94","126","115","","","",""
