"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"STL","1464.2","104","99","104","77","105","101","96","96","99","109","77","91","96","97","104","97"
"PIT","1489.2","103","93","110","68","104","94","98","95","101","103","84","88","92","106","109","84"
"CHC","1461.1","112","85","131","85","115","88","92","89","96","100","86","85","87","106","101","95"
"CLE","1432.2","116","92","125","95","119","95","94","92","98","100","90","89","88","101","100","99"
"KCR","1452.0","94","105","89","91","94","105","98","99","97","103","92","102","105","101","96","104"
"WSN","1434.2","107","77","137","93","109","79","98","93","100","99","92","90","92","100","97","105"
"HOU","1441.0","105","91","114","87","107","93","95","93","97","101","92","91","92","97","107","93"
"LAD","1445.2","110","83","131","92","114","86","95","91","99","102","92","89","86","94","108","92"
"NYM","1462.2","104","80","130","96","107","82","95","91","96","102","93","91","93","94","100","104"
"TOR","1441.0","91","86","106","102","93","87","98","94","95","100","94","100","102","98","98","103"
"TBR","1453.1","110","102","107","102","111","104","95","96","97","103","96","99","97","98","94","109"
"ARI","1466.2","95","104","91","114","94","103","101","102","98","101","98","107","105","97","99","104"
"MIN","1443.0","85","89","95","96","85","89","106","103","102","100","99","100","105","104","99","98"
"NYY","1457.2","111","101","109","106","110","101","100","101","102","101","100","95","91","103","106","91"
"SFG","1444.1","92","91","101","99","94","93","97","95","94","102","100","106","103","98","99","102"
"BAL","1434.2","101","105","96","103","101","105","101","102","101","101","100","98","100","99","102","98"
"CHW","1452.2","110","102","108","95","109","101","102","102","106","100","100","93","94","102","102","96"
"TEX","1442.2","89","110","81","101","88","108","103","106","100","99","101","106","108","105","100","98"
"LAA","1440.2","100","101","98","98","100","101","97","98","97","101","102","102","105","94","94","112"
"BOS","1448.1","99","103","96","104","97","101","104","105","104","98","104","105","102","101","100","100"
"OAK","1444.2","96","102","94","101","96","102","100","101","99","97","106","104","102","98","101","100"
"MIA","1427.0","92","109","84","91","92","109","100","102","98","99","106","105","109","98","96","107"
"MIL","1435.0","100","110","91","113","99","109","102","105","101","99","107","104","103","100","100","100"
"SEA","1463.0","103","105","98","105","103","104","101","102","101","100","108","104","99","96","104","97"
"SDP","1440.1","110","109","101","109","110","109","99","101","101","97","110","103","95","101","101","97"
"CIN","1453.1","98","114","86","112","96","112","101","105","99","98","110","107","107","104","95","104"
"COL","1426.1","89","124","72","118","85","119","111","116","106","96","112","110","111","101","103","95"
"ATL","1425.1","92","118","77","110","90","115","105","109","102","98","113","115","112","102","94","108"
"DET","1447.0","90","105","85","113","88","104","105","106","102","96","114","109","108","102","97","103"
"PHI","1436.1","92","104","88","123","88","100","110","111","106","97","120","110","110","101","95","106"
