"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"SEA","6385","108","105","103","104","113","116","129","101","","","","","",""
"CLE","6304","108","92","106","105","109","113","115","102","","","","","",""
"NYY","6527","114","88","106","106","102","111","95","105","","","","","",""
"BOS","6430","88","98","107","103","108","109","109","108","","","","","",""
"BAL","6340","102","91","99","100","100","102","102","96","","","","","",""
"SDP","6373","104","108","100","100","96","102","88","103","","","","","",""
"ATL","6315","103","112","100","100","100","101","101","102","","","","","",""
"OAK","6369","111","112","96","99","99","101","103","98","","","","","",""
"CHW","6201","101","88","101","100","97","100","91","99","","","","","",""
"HOU","6363","109","104","96","100","95","100","94","98","","","","","",""
"LAD","6216","88","105","99","97","98","100","97","100","","","","","",""
"ANA","6387","107","90","100","101","97","100","91","99","","","","","",""
"SFG","6296","112","108","95","99","98","99","101","96","","","","","",""
"FLA","6300","119","104","96","101","93","99","88","98","","","","","",""
"NYM","6248","96","100","97","97","95","95","93","97","","","","","",""
"TEX","6266","88","108","101","98","102","95","104","102","","","","","",""
"COL","6338","97","102","106","104","113","95","124","104","","","","","",""
"DET","6190","103","114","95","97","97","93","99","98","","","","","",""
"KCR","6295","98","102","97","98","95","92","91","99","","","","","",""
"MON","6131","75","107","95","92","100","91","108","96","","","","","",""
"MIN","6267","87","108","100","98","95","91","88","104","","","","","",""
"PIT","6201","85","114","97","96","95","89","92","101","","","","","",""
"STL","6212","96","116","94","95","93","87","92","98","","","","","",""
"MIL","6097","90","96","96","95","93","86","88","96","","","","","",""
"CIN","6153","92","110","93","94","92","85","89","96","","","","","",""
"CHC","6098","81","100","97","94","93","83","86","99","","","","","",""
"PHI","6130","93","102","94","94","91","82","84","97","","","","","",""
"TOR","6109","88","113","90","91","91","81","92","93","","","","","",""
