"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"BOS","6414","111","96","108","108","113","117","120","107","102","98","102","101","99","101"
"NYY","6306","123","101","102","106","109","113","120","99","98","104","96","105","96","97"
"STL","6242","103","85","106","104","105","112","105","102","102","107","91","92","102","110"
"TEX","6261","94","83","109","105","113","112","118","103","106","102","95","93","107","102"
"DET","6231","103","102","107","105","106","109","104","108","108","93","104","100","96","106"
"TBR","6152","115","108","94","100","98","103","106","95","95","99","104","106","98","94"
"MIL","6113","93","97","101","100","105","103","114","98","98","103","98","101","98","100"
"NYM","6335","107","93","102","103","97","102","88","103","105","97","101","97","103","102"
"KCR","6267","87","89","106","102","102","101","93","106","103","103","94","94","102","107"
"CIN","6329","100","108","99","100","101","99","105","99","101","99","101","96","102","104"
"CLE","6142","99","115","97","98","97","99","97","101","99","103","98","104","100","93"
"LAA","6088","90","99","98","97","98","98","99","98","99","101","100","97","103","100"
"TOR","6210","104","106","96","98","101","97","109","96","94","95","110","109","95","92"
"ARI","6096","103","112","97","99","102","97","113","98","103","94","106","102","97","100"
"BAL","6156","91","101","99","98","101","96","104","98","97","101","101","99","102","99"
"PHI","6279","102","89","97","99","98","96","99","95","98","101","100","103","101","94"
"LAD","6094","97","97","99","99","93","95","82","100","106","101","96","92","101","111"
"FLA","6232","103","109","95","97","96","92","98","97","100","100","100","100","101","99"
"CHC","6130","82","107","99","96","99","91","100","101","101","101","98","101","102","95"
"ATL","6169","97","111","94","94","96","91","100","95","90","104","101","103","99","97"
"CHW","6159","95","90","98","99","95","90","90","95","100","99","102","107","92","100"
"OAK","6104","103","100","94","96","90","89","83","96","107","93","104","96","105","99"
"WSN","6090","92","119","94","95","95","89","97","97","89","105","99","96","101","105"
"SFG","6091","87","101","93","93","91","88","88","94","89","102","103","102","100","96"
"HOU","6150","77","103","99","95","93","88","81","103","106","103","93","95","101","106"
"COL","6275","105","104","100","101","102","88","105","100","104","101","97","97","102","103"
"PIT","6064","96","118","94","95","91","88","85","101","102","101","97","100","100","100"
"SDP","6074","98","119","92","93","86","86","77","98","96","106","95","99","102","99"
"MIN","6020","90","97","96","95","88","82","75","98","95","110","91","94","104","103"
"SEA","5972","90","119","90","90","85","80","77","96","96","104","98","94","101","109"
