"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"LAD","43","17","3.02","309","60","0","0","15","45","9","538.2","2172","424","213","181","66","145","4","21","24","0","517"
"CLE","35","25","3.29","241","60","1","0","20","35","7","536.0","2176","440","209","196","68","157","8","27","20","1","621"
"TBR","40","20","3.56","279","60","0","0","23","38","6","527.2","2212","475","229","209","70","168","4","29","30","1","552"
"MIN","36","24","3.58","262","60","0","0","17","49","9","513.1","2130","448","215","204","62","170","0","21","20","1","535"
"OAK","36","24","3.77","241","60","1","1","17","32","4","515.1","2164","471","232","216","69","165","6","15","16","1","506"
"CHW","35","25","3.81","284","60","1","1","13","29","9","527.0","2235","448","246","223","71","217","6","23","24","0","523"
"SDP","37","23","3.87","278","60","1","1","13","39","11","520.1","2160","456","241","224","70","170","2","22","19","3","565"
"CIN","31","29","3.89","228","60","3","2","9","25","7","504.0","2125","401","243","218","67","213","6","29","23","5","615"
"STL","30","28","3.92","234","58","2","0","13","17","5","473.0","1989","376","229","206","69","204","8","26","21","1","464"
"CHC","34","26","3.99","248","60","2","2","16","24","5","518.1","2153","451","240","230","74","182","7","17","22","4","523"
"MIL","29","31","4.18","249","60","1","0","14","20","8","517.1","2186","446","264","240","67","189","1","35","21","2","614"
"KCR","26","34","4.30","292","60","1","1","19","29","1","517.0","2233","500","272","247","76","211","7","29","28","3","517"
"HOU","29","31","4.31","253","60","0","0","16","27","13","524.0","2239","472","275","251","70","217","7","29","25","4","526"
"NYY","33","27","4.35","234","60","2","1","14","15","9","500.2","2133","455","270","242","83","168","5","25","22","2","528"
"ATL","35","25","4.46","288","60","0","0","13","30","6","524.1","2276","494","288","260","69","220","13","33","23","2","506"
"BAL","25","35","4.51","267","60","0","0","11","31","7","518.2","2246","489","294","260","79","192","2","34","35","4","487"
"TOR","32","28","4.63","286","60","0","0","17","31","11","524.2","2309","517","312","270","81","250","7","14","15","2","519"
"SFG","29","31","4.64","296","60","1","0","13","42","10","517.2","2240","474","297","267","69","210","2","34","20","5","488"
"PIT","19","41","4.68","269","60","1","0","6","22","12","513.0","2227","451","298","267","80","249","3","37","28","2","536"
"ARI","25","35","4.84","260","60","0","0","13","19","9","518.1","2279","506","295","279","93","235","20","23","23","1","524"
"MIA","31","29","4.86","275","60","1","0","18","25","4","504.0","2214","506","304","272","82","226","14","26","11","4","451"
"NYM","26","34","5.01","257","60","0","0","11","28","7","513.1","2262","511","308","286","81","219","7","29","24","0","574"
"TEX","22","38","5.02","264","60","2","1","10","15","9","516.2","2273","479","312","288","81","236","3","30","21","2","489"
"SEA","27","33","5.03","249","60","1","0","15","28","8","516.2","2249","482","303","289","79","230","7","37","24","1","469"
"LAA","26","34","5.09","288","60","1","0","12","20","14","525.1","2256","492","321","297","82","199","8","21","25","1","523"
"WSN","26","34","5.09","262","60","2","0","12","39","9","503.2","2273","548","301","285","94","216","22","22","23","4","508"
"PHI","28","32","5.20","249","60","3","2","11","26","12","497.0","2197","550","311","287","80","185","12","28","14","3","532"
"BOS","24","36","5.58","292","60","0","0","14","37","11","524.0","2389","587","351","325","98","252","4","31","27","3","537"
"COL","26","34","5.59","249","60","1","0","16","20","8","526.1","2335","579","353","327","83","205","5","40","29","1","393"
"DET","23","35","5.63","276","58","1","0","11","25","8","492.1","2174","511","318","308","91","192","2","34","18","0","444"
