"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"ATL","106","56","45","516","162","1438.2","7.71","2.92","0.73",".285","74.4%","","","","3.25","","3.53","","27.0"
"SDP","98","64","59","531","162","1454.2","7.53","3.10","0.86",".293","74.7%","","","","3.63","","3.84","","21.4"
"NYY","114","48","48","496","162","1456.2","6.67","2.88","0.96",".277","73.8%","","","","3.82","","4.15","","21.2"
"TOR","88","74","47","547","163","1465.0","7.09","3.61","1.04",".290","71.1%","","","","4.29","","4.36","","18.5"
"HOU","102","60","44","501","162","1471.1","7.26","2.84","0.90",".295","76.1%","","","","3.50","","3.86","","18.4"
"TEX","88","74","46","564","162","1431.1","6.25","3.26","1.03",".315","67.2%","","","","5.00","","4.42","","17.9"
"PIT","69","93","41","558","163","1449.0","6.91","3.29","0.91",".292","71.4%","","","","3.91","","4.08","","17.5"
"LAD","83","79","47","504","162","1447.1","7.33","3.65","0.84",".284","72.6%","","","","3.81","","4.06","","17.5"
"BAL","79","83","37","564","162","1431.1","6.70","3.36","1.06",".304","70.3%","","","","4.74","","4.40","","16.2"
"SEA","76","85","31","529","161","1424.1","7.30","3.34","1.24",".308","68.5%","","","","4.95","","4.54","","15.8"
"COL","77","85","36","568","162","1432.2","5.97","3.53","1.09",".311","68.9%","","","","5.00","","4.70","","15.8"
"ANA","85","77","52","577","162","1444.0","6.80","3.93","1.02",".300","71.3%","","","","4.49","","4.51","","15.7"
"CLE","89","73","47","585","162","1460.0","6.39","3.47","1.05",".303","72.2%","","","","4.45","","4.54","","15.6"
"BOS","92","70","53","594","162","1436.0","6.42","3.16","1.05",".282","71.4%","","","","4.19","","4.40","","15.5"
"CHC","90","73","56","612","163","1477.1","7.35","3.50","1.10",".302","71.6%","","","","4.50","","4.35","","14.7"
"NYM","88","74","46","561","162","1458.0","6.97","3.28","0.94",".287","75.6%","","","","3.77","","4.18","","14.6"
"MIN","70","92","42","594","162","1447.2","5.92","2.84","1.12",".308","69.7%","","","","4.76","","4.48","","14.3"
"DET","65","97","32","608","162","1446.1","5.89","3.70","1.15",".300","68.7%","","","","4.93","","4.81","","12.8"
"CIN","77","85","42","528","162","1441.1","6.86","3.58","1.06",".285","70.8%","","","","4.44","","4.45","","12.8"
"STL","83","79","44","591","163","1469.2","5.95","3.42","0.92",".292","70.2%","","","","4.32","","4.40","","12.5"
"MON","65","97","39","605","162","1427.0","6.41","3.36","0.98",".291","69.0%","","","","4.39","","4.38","","12.2"
"SFG","89","74","44","596","163","1477.0","6.64","3.42","1.04",".287","72.7%","","","","4.19","","4.42","","12.0"
"OAK","74","88","39","570","162","1434.0","5.79","3.32","1.12",".298","67.4%","","","","4.83","","4.70","","11.9"
"PHI","75","87","32","547","162","1463.0","7.23","3.35","1.16",".294","69.9%","","","","4.64","","4.43","","11.8"
"KCR","72","89","46","549","161","1436.1","6.26","3.56","1.23",".307","67.9%","","","","5.16","","4.83","","11.3"
"TBD","63","99","28","572","162","1443.0","6.29","4.01","1.07",".287","73.2%","","","","4.35","","4.79","","10.8"
"ARI","65","97","37","530","162","1432.1","5.71","3.07","1.18",".282","68.3%","","","","4.64","","4.69","","8.9"
"MIL","74","88","39","577","162","1451.0","6.59","3.41","1.17",".302","70.9%","","","","4.63","","4.62","","8.5"
"CHW","80","82","42","568","163","1438.2","5.70","3.63","1.32",".294","66.7%","","","","5.24","","5.10","","5.5"
"FLA","54","108","24","582","162","1449.2","6.31","4.44","1.13",".313","68.7%","","","","5.20","","4.97","","1.5"
