"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"LAD","1457.2","120","95","126","74","126","100","90","88","97","107","78","82","84","99","109","89"
"OAK","1441.2","104","98","105","79","107","101","92","92","94","105","81","90","94","92","110","93"
"ARI","1455.0","120","95","126","88","121","96","95","95","101","101","85","86","88","96","107","93"
"SEA","1441.0","102","92","111","97","106","95","93","90","93","108","87","98","101","93","93","114"
"HOU","1450.0","106","103","104","95","108","104","95","96","97","103","89","97","99","96","99","104"
"CHC","1456.1","131","112","117","84","132","113","92","95","100","101","89","86","86","100","106","92"
"SFG","1437.1","95","100","94","81","97","102","96","95","96","103","90","98","101","98","98","104"
"CHW","1431.0","109","103","106","92","111","105","94","95","97","102","90","90","97","98","100","102"
"NYY","1462.0","113","73","154","80","115","74","99","93","104","100","90","82","88","102","101","98"
"MON","1437.2","97","85","114","107","98","85","101","97","100","102","91","98","97","101","101","98"
"CLE","1459.1","95","98","97","99","96","99","99","98","98","100","95","102","99","100","104","95"
"ATL","1456.1","92","100","92","86","93","101","98","98","98","98","95","98","98","104","108","88"
"ANA","1431.1","101","97","104","107","101","97","98","97","97","103","96","103","103","100","93","108"
"MIN","1461.2","100","78","128","103","102","79","100","95","100","101","97","98","98","101","91","110"
"PHI","1443.2","99","98","101","84","100","98","97","96","98","100","97","97","99","96","103","99"
"BOS","1464.2","115","95","120","85","114","95","99","98","103","97","97","91","92","100","106","92"
"FLA","1445.1","106","97","110","76","108","98","99","97","102","99","98","90","97","102","95","105"
"TOR","1435.0","101","96","105","104","100","95","104","103","104","98","100","98","95","99","110","89"
"KCR","1438.2","89","112","79","107","87","109","104","107","101","98","106","106","110","97","98","104"
"COL","1420.0","83","102","80","120","80","99","111","111","106","96","106","108","109","108","99","96"
"NYM","1413.1","87","107","81","101","86","106","104","106","102","100","108","108","110","97","95","108"
"BAL","1449.2","100","103","97","110","98","102","104","105","104","102","108","104","102","103","100","98"
"PIT","1444.1","87","92","94","105","86","91","104","102","100","97","108","105","102","101","102","96"
"TBD","1436.2","90","127","70","110","88","124","99","105","95","99","110","116","115","96","95","109"
"STL","1463.2","90","91","98","122","89","91","104","101","99","101","110","111","106","101","93","108"
"CIN","1446.1","87","107","81","123","85","105","106","108","102","96","117","111","108","104","96","102"
"MIL","1452.0","96","104","92","129","94","101","106","108","103","98","117","111","108","97","92","112"
"TEX","1433.1","104","120","87","117","100","116","108","112","108","94","119","107","102","117","97","93"
"DET","1438.2","78","110","71","110","76","108","107","109","102","95","121","114","111","102","101","98"
"SDP","1431.1","103","112","92","124","101","110","101","104","99","98","122","115","103","98","99","102"
