"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"ATL","1455.0","108","94","115","72","112","98","91","90","95","106","75","85","","","",""
"BOS","1452.1","107","96","112","85","109","97","94","94","96","101","84","93","","","",""
"CHW","1454.0","105","98","106","84","107","100","96","95","98","104","88","94","","","",""
"MON","1456.2","97","102","94","85","98","103","95","96","95","100","88","99","","","",""
"LAD","1472.2","108","110","98","73","108","111","96","99","100","102","91","94","","","",""
"HOU","1441.1","111","94","117","84","113","96","95","94","98","103","91","95","","","",""
"KCR","1445.1","106","100","107","71","108","102","95","95","99","100","92","91","","","",""
"SFG","1456.2","102","87","118","120","105","89","96","92","95","107","94","103","","","",""
"TOR","1441.1","111","109","101","91","110","108","98","101","101","100","96","94","","","",""
"SEA","1453.2","116","105","111","91","117","106","97","98","101","101","96","95","","","",""
"PHI","1473.0","115","111","104","91","114","110","96","100","99","99","97","95","","","",""
"BAL","1442.2","97","101","96","103","98","102","98","98","97","101","99","101","","","",""
"TEX","1438.1","104","99","105","98","104","99","100","100","101","100","100","99","","","",""
"CAL","1430.1","92","97","94","104","92","97","101","100","99","100","100","101","","","",""
"NYM","1438.0","92","86","106","100","92","86","102","98","100","98","101","100","","","",""
"MIL","1447.0","87","91","96","103","87","91","101","99","99","98","102","104","","","",""
"NYY","1438.1","98","97","101","115","98","97","100","99","98","101","102","103","","","",""
"CHC","1449.2","95","93","102","109","95","93","104","101","102","101","103","101","","","",""
"FLA","1440.1","100","119","83","97","98","117","99","104","99","101","103","104","","","",""
"STL","1453.0","81","75","108","108","81","76","105","98","100","99","103","104","","","",""
"SDP","1437.2","101","111","91","107","99","109","101","104","100","98","105","102","","","",""
"CLE","1445.2","96","103","92","123","94","101","106","106","103","101","106","110","","","",""
"DET","1436.2","90","95","94","128","89","94","103","103","99","98","107","107","","","",""
"MIN","1444.1","97","90","108","100","97","89","106","103","106","96","107","98","","","",""
"CIN","1434.0","105","101","104","114","104","100","103","104","104","98","110","100","","","",""
"PIT","1445.2","87","96","91","110","87","95","106","104","103","97","117","107","","","",""
"COL","1431.1","97","121","79","131","92","115","111","117","109","93","118","112","","","",""
"OAK","1452.1","93","118","78","105","90","115","103","108","102","99","120","111","","","",""
