"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"KCR","1448.1","98","95","103","93","100","97","98","96","98","105","85","98","98","105","96","102"
"TEX","1463.1","105","100","105","93","106","101","97","97","99","103","86","93","95","106","99","98"
"ATL","1450.1","102","85","120","89","104","87","97","93","99","105","86","94","95","103","100","98"
"CIN","1473.2","106","89","118","117","108","91","94","92","94","105","89","98","98","96","97","107"
"DET","1462.2","115","93","123","76","117","94","97","95","103","101","89","82","87","98","105","95"
"BOS","1454.0","105","106","99","93","105","107","97","99","99","102","90","99","98","98","99","102"
"LAD","1450.1","107","96","111","89","109","97","97","96","100","103","91","92","93","102","103","94"
"PIT","1470.2","103","106","97","70","104","107","95","96","98","102","91","93","95","96","115","82"
"OAK","1452.0","96","87","110","98","97","88","95","92","93","102","92","98","102","93","91","115"
"STL","1459.2","103","94","110","78","104","94","99","97","102","101","93","91","96","94","106","95"
"WSN","1445.2","103","85","121","100","104","86","99","96","100","100","95","95","97","98","99","103"
"CLE","1441.1","113","113","99","89","112","112","97","101","102","101","96","94","94","103","103","95"
"TBR","1464.0","105","97","109","91","108","99","94","93","96","100","97","96","93","99","103","97"
"NYY","1447.1","100","89","111","103","101","89","102","99","102","102","97","95","95","103","102","96"
"CHW","1455.0","101","103","98","109","100","102","100","101","100","100","98","101","100","96","100","102"
"MIL","1442.2","94","98","96","123","94","98","101","101","98","100","99","105","105","102","97","102"
"ARI","1495.0","98","98","99","120","97","98","102","102","100","101","101","107","102","101","101","98"
"MIA","1460.0","97","109","89","84","97","109","100","102","100","99","101","101","105","99","99","102"
"COL","1436.0","89","109","82","96","86","106","110","112","108","95","101","98","107","106","104","91"
"BAL","1453.0","95","96","98","121","95","96","101","100","98","102","102","105","101","104","97","101"
"TOR","1452.0","98","101","97","117","97","100","101","102","99","99","105","107","102","96","101","101"
"NYM","1476.2","98","94","105","105","98","94","102","100","101","99","106","100","102","99","97","104"
"CHC","1448.0","98","113","87","112","98","112","97","101","96","99","107","108","110","99","93","111"
"SDP","1455.0","97","109","88","109","96","109","102","104","100","99","112","108","105","98","100","101"
"LAA","1457.2","97","107","90","100","95","106","102","105","101","99","112","107","103","102","97","102"
"SEA","1465.0","104","96","109","103","104","95","101","101","102","96","112","100","94","99","105","95"
"MIN","1450.1","80","93","86","101","79","91","110","107","104","96","113","107","108","101","101","99"
"PHI","1436.1","100","107","94","107","98","104","105","107","105","96","116","103","106","96","97","106"
"SFG","1447.1","104","109","95","102","103","108","100","102","101","98","116","108","103","109","92","105"
"HOU","1440.0","89","126","70","115","85","121","106","113","102","95","120","116","113","97","101","100"
