"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6377","119","113","104","107","107","116","112","106","102","101","98","102","96","101"
"SEA","6362","117","97","104","105","99","110","90","105","103","104","93","89","105","113"
"SFG","6298","105","93","100","101","104","109","112","97","101","92","109","104","102","91"
"BOS","6332","102","92","105","104","104","107","104","103","101","101","97","105","98","95"
"OAK","6291","115","99","99","102","102","106","106","97","100","99","101","100","103","97"
"CHW","6208","106","94","101","102","106","105","113","98","97","95","108","107","88","102"
"ANA","6327","87","78","107","103","102","105","93","104","106","93","105","99","102","99"
"TEX","6332","104","103","102","102","107","103","116","100","101","95","106","100","104","96"
"MIN","6196","90","108","103","100","103","101","103","106","103","107","90","97","100","105"
"STL","6246","93","91","101","100","100","101","100","99","101","100","99","106","95","96"
"PHI","6323","108","106","97","100","100","101","104","99","101","96","105","99","103","99"
"FLA","6263","102","110","98","99","95","97","91","102","101","103","95","96","100","106"
"ARI","6318","109","98","100","102","100","97","99","101","102","103","95","98","103","100"
"TOR","6230","100","113","99","99","101","97","105","101","103","98","100","95","105","103"
"LAD","6146","75","94","99","94","97","96","93","98","99","105","94","96","104","103"
"CLE","6099","106","101","94","97","97","95","101","93","94","105","98","106","100","91"
"HOU","6252","101","110","99","99","99","94","99","101","102","97","103","101","97","101"
"ATL","6224","96","101","98","98","97","94","95","98","96","106","95","100","102","98"
"CHC","6242","100","124","92","95","98","93","106","96","94","101","102","103","99","97"
"MON","6250","99","108","98","98","99","93","100","101","100","106","93","91","108","105"
"NYM","6150","85","104","96","95","93","91","88","98","95","101","101","102","99","98"
"SDP","6178","95","105","95","95","90","91","82","97","101","103","96","94","99","110"
"CIN","6254","100","116","95","97","96","91","98","99","97","101","101","98","100","103"
"BAL","6096","88","100","93","93","95","90","97","93","93","97","108","110","94","91"
"TBD","6198","87","111","96","95","92","87","85","100","97","106","95","99","99","102"
"MIL","6083","88","113","95","94","92","86","87","99","95","107","94","92","101","111"
"KCR","6206","100","91","97","97","94","85","89","96","102","102","96","94","103","106"
"PIT","6049","95","112","92","94","90","84","87","95","99","96","105","101","99","100"
"COL","6165","86","104","103","99","100","82","95","105","106","106","89","95","104","104"
"DET","5920","73","108","94","90","89","82","82","97","96","101","102","97","104","101"
