"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"ATL","90","54","3.44","483","144","18","6","34","","","1291.2","5410","1184","540","494","107","436","46","32","38","4","1087"
"LAD","78","66","3.67","499","144","16","9","37","","","1295.0","5481","1188","609","528","125","462","45","37","49","12","1060"
"CLE","100","44","3.83","479","144","10","4","50","","","1301.0","5512","1261","607","554","135","445","16","45","48","5","926"
"NYM","69","75","3.88","442","144","9","1","36","","","1291.0","5483","1296","618","556","133","401","48","35","39","12","901"
"CIN","85","59","4.03","473","144","8","2","38","","","1289.1","5445","1270","623","578","131","424","32","31","58","10","903"
"HOU","76","68","4.06","538","144","6","4","32","","","1320.1","5703","1357","674","596","118","460","52","50","53","6","1056"
"STL","62","81","4.10","520","143","4","2","38","","","1265.2","5420","1290","658","576","135","445","37","40","51","6","842"
"MON","66","78","4.11","540","144","7","5","42","","","1283.2","5491","1286","638","586","128","416","26","59","43","9","950"
"CHC","73","71","4.13","558","144","6","4","45","","","1301.0","5664","1313","671","597","162","518","68","34","38","6","926"
"SDP","70","74","4.15","481","144","6","5","35","","","1284.2","5529","1242","672","592","142","512","37","51","60","5","1047"
"PHI","69","75","4.21","485","144","8","3","41","","","1290.1","5575","1241","658","603","134","538","36","55","57","10","980"
"FLA","67","76","4.28","543","143","12","5","29","","","1286.0","5628","1299","673","611","139","562","54","46","36","5","994"
"BAL","71","73","4.31","480","144","19","7","29","","","1267.0","5382","1165","640","607","149","523","40","37","30","9","930"
"BOS","86","58","4.41","514","144","7","2","39","","","1292.2","5600","1338","698","634","127","476","28","46","57","1","888"
"KCR","70","74","4.49","452","144","11","3","37","","","1288.0","5561","1323","691","642","142","503","38","38","45","5","763"
"SEA","79","66","4.52","469","145","9","3","39","","","1289.1","5743","1343","708","647","149","591","37","47","50","7","1068"
"CAL","78","67","4.53","513","145","8","3","42","","","1284.1","5571","1310","697","646","163","486","23","43","42","10","901"
"NYY","79","65","4.56","447","145","18","3","35","","","1284.2","5575","1286","688","651","159","535","21","32","50","5","908"
"TEX","74","70","4.66","454","144","14","3","34","","","1285.0","5626","1385","720","666","152","514","38","36","60","6","838"
"PIT","58","86","4.71","535","144","11","3","29","","","1275.1","5618","1407","736","667","130","477","50","57","65","4","871"
"MIL","65","79","4.82","465","144","7","0","31","","","1286.0","5707","1391","747","689","146","603","39","47","46","7","699"
"CHW","68","76","4.85","517","145","12","2","36","","","1284.2","5734","1374","758","693","164","617","47","39","45","8","892"
"SFG","67","77","4.86","525","144","12","1","34","","","1293.2","5672","1368","776","699","173","505","51","56","43","15","801"
"TOR","56","88","4.88","409","144","16","3","22","","","1292.2","5773","1336","777","701","145","654","42","51","73","4","894"
"COL","77","67","4.97","600","144","1","0","43","","","1288.1","5706","1443","783","711","160","512","31","41","60","13","891"
"OAK","67","77","4.97","502","144","8","2","34","","","1273.0","5606","1320","761","703","153","556","26","53","56","4","890"
"DET","60","84","5.50","510","144","5","1","38","","","1275.0","5774","1509","844","779","170","536","79","45","67","7","729"
"MIN","56","88","5.77","480","144","7","2","27","","","1272.2","5714","1450","889","816","210","533","18","36","52","4","790"
