"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"SDP","36","24","2.82","282","60","1","1","22","32","8","539.1","2227","411","200","169","65","189","14","35","17","0","625"
"NYM","28","23","3.09","213","52","1","1","14","22","8","434.1","1777","349","179","149","36","142","6","21","19","0","479"
"LAD","34","24","3.29","250","58","1","0","18","35","14","520.0","2120","398","226","190","66","164","12","22","21","2","592"
"SFG","37","21","3.30","252","58","1","1","23","42","13","515.0","2112","423","210","189","60","154","7","22","12","4","507"
"CHW","35","23","3.31","224","58","3","3","15","25","10","494.1","2062","414","206","182","62","164","8","18","22","3","565"
"NYY","31","28","3.36","230","59","1","1","16","24","4","525.1","2131","415","221","196","64","163","2","19","29","1","575"
"TBR","37","23","3.38","241","60","1","0","18","36","8","545.2","2208","444","226","205","67","164","10","21","23","2","560"
"MIA","24","33","3.61","269","57","0","0","10","27","15","501.1","2087","428","224","201","47","167","11","28","13","1","489"
"MIL","32","26","3.72","240","58","1","0","16","28","11","518.0","2158","406","235","214","70","196","7","30","30","5","601"
"CHC","32","26","3.77","280","58","1","0","16","46","6","513.1","2214","460","236","215","69","214","7","40","20","1","526"
"HOU","32","26","3.82","239","58","1","0","11","26","10","520.2","2169","431","241","221","73","195","7","25","23","1","523"
"BOS","35","23","3.85","240","58","0","0","18","38","8","507.1","2169","475","237","217","43","196","3","29","28","2","548"
"CLE","31","25","3.92","229","56","0","0","18","22","3","488.2","2059","407","228","213","68","208","5","17","26","3","536"
"OAK","35","25","3.98","239","60","3","3","15","25","6","531.2","2263","517","256","235","60","162","5","19","32","0","498"
"TOR","30","26","3.99","246","56","0","0","11","26","7","485.1","2056","443","240","215","74","178","8","25","11","1","507"
"WSN","24","31","4.15","238","55","1","0","10","22","4","473.1","1985","406","234","218","72","184","20","20","9","0","478"
"STL","31","28","4.20","255","59","1","0","20","31","5","517.0","2271","442","264","241","45","265","13","47","37","3","473"
"PHI","27","30","4.21","233","57","2","2","14","27","11","498.0","2117","463","250","233","72","173","16","27","17","0","523"
"KCR","29","27","4.38","245","56","0","0","14","31","8","486.2","2117","453","257","237","56","220","5","19","29","3","504"
"DET","24","34","4.38","248","58","2","1","12","29","8","501.0","2171","465","272","244","72","207","1","29","37","0","485"
"ATL","27","29","4.51","263","56","0","0","11","35","8","493.1","2140","462","278","247","72","199","11","28","28","2","520"
"TEX","23","37","4.51","234","60","0","0","13","15","6","528.2","2271","536","281","265","71","181","8","18","33","0","490"
"SEA","29","31","4.55","261","60","0","0","17","39","10","520.2","2216","480","285","263","67","194","6","29","25","1","479"
"PIT","23","34","4.74","256","57","0","0","8","24","3","494.0","2126","463","278","260","71","196","3","23","28","2","482"
"COL","23","36","4.79","249","59","2","0","8","12","9","501.1","2190","492","297","267","69","218","8","22","24","0","440"
"MIN","23","35","4.83","243","58","0","0","13","33","9","503.1","2168","492","304","270","83","181","3","24","18","0","473"
"BAL","20","38","4.84","257","58","1","1","11","30","10","500.0","2179","503","288","269","86","186","2","19","30","3","508"
"CIN","27","29","4.92","258","56","1","1","13","18","7","498.0","2173","449","297","272","71","238","13","21","26","4","540"
"LAA","27","31","4.95","260","58","0","0","13","24","9","505.2","2214","482","302","278","79","228","4","19","27","2","566"
"ARI","20","40","5.05","263","60","2","2","6","22","11","522.2","2295","541","323","293","85","190","18","24","13","4","474"
