"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"ATL","1467.1","96","97","98","74","99","100","93","92","94","106","77","91","98","99","103","97"
"BOS","1446.0","115","82","140","83","119","85","93","88","97","102","82","88","89","94","106","96"
"ANA","1452.1","99","97","102","95","102","100","93","92","93","107","83","97","100","99","96","105"
"OAK","1452.0","101","90","112","76","103","92","95","93","97","104","84","88","94","96","109","92"
"NYY","1452.0","112","77","146","81","115","78","97","92","101","100","88","83","89","101","100","99"
"SFG","1437.1","92","94","98","72","94","96","97","95","97","102","90","95","102","101","96","105"
"MIN","1444.2","102","84","121","105","104","86","99","95","99","103","91","99","99","101","89","112"
"ARI","1446.2","120","75","159","104","123","77","96","90","100","100","91","85","85","98","98","103"
"STL","1446.1","93","98","95","87","94","99","97","96","96","102","92","99","102","100","99","102"
"MON","1453.0","100","90","110","101","100","90","102","100","102","100","94","95","94","98","107","93"
"HOU","1445.0","112","97","114","93","112","98","100","100","104","101","94","91","93","101","101","99"
"LAD","1457.2","103","98","105","101","106","100","94","93","94","104","96","99","98","101","96","104"
"SEA","1445.1","106","84","124","101","108","86","97","93","98","103","97","96","95","102","94","106"
"NYM","1442.2","102","97","105","100","102","97","99","99","99","101","98","101","100","98","97","106"
"CHW","1423.0","96","103","93","110","96","103","98","99","96","98","100","101","103","98","98","103"
"CIN","1453.2","90","98","92","106","89","97","104","103","102","98","102","103","102","99","104","96"
"BAL","1450.2","96","105","91","118","96","105","101","102","99","104","103","107","100","97","106","94"
"PIT","1412.2","87","104","83","102","86","104","104","104","101","100","103","108","103","102","108","89"
"PHI","1449.2","99","101","97","94","99","102","98","98","98","99","103","102","100","94","105","97"
"TOR","1438.1","99","113","87","101","97","111","102","105","102","99","104","103","103","99","103","97"
"CHC","1441.1","123","108","113","103","122","108","97","100","103","98","107","95","93","103","95","104"
"COL","1426.2","86","105","81","140","83","102","108","109","101","95","107","112","110","102","98","101"
"TEX","1439.2","103","129","80","111","99","124","103","110","103","98","109","107","106","102","101","97"
"KCR","1441.0","91","110","83","121","89","107","106","108","102","98","110","109","106","101","101","98"
"FLA","1456.1","101","112","90","92","100","110","101","104","102","98","110","103","104","100","97","104"
"CLE","1424.2","107","117","91","82","105","115","103","107","107","96","111","96","98","103","106","91"
"DET","1414.0","81","91","89","94","79","89","107","105","104","94","114","105","107","100","99","101"
"MIL","1432.1","95","120","79","123","93","117","103","109","100","99","115","115","110","101","95","106"
"TBD","1440.1","92","119","78","123","90","115","105","110","102","97","120","117","113","106","90","108"
"SDP","1436.1","103","105","98","109","100","102","106","107","106","97","121","108","100","103","100","98"
