"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"OAK","1456.0","91","90","101","95","94","93","92","90","90","106","85","101","","","",""
"CIN","1456.1","110","104","106","97","111","105","96","97","98","106","87","92","","","",""
"MON","1473.1","105","97","108","99","106","98","96","95","96","105","89","99","","","",""
"BOS","1442.0","110","95","115","72","110","95","101","100","105","100","90","87","","","",""
"CHW","1449.1","100","100","100","82","102","102","94","94","95","101","92","97","","","",""
"PIT","1447.0","91","80","114","107","94","82","98","92","96","102","92","101","","","",""
"SEA","1443.1","117","111","106","93","117","111","94","98","97","100","93","94","","","",""
"NYM","1440.0","132","86","152","94","134","88","96","93","103","102","93","85","","","",""
"SDP","1461.2","99","97","102","115","99","97","101","100","100","102","96","101","","","",""
"TOR","1454.0","98","81","120","111","100","83","100","95","99","102","97","96","","","",""
"TEX","1444.2","110","114","96","88","110","114","96","100","98","99","98","98","","","",""
"HOU","1450.0","92","96","96","102","92","96","99","98","97","102","99","108","","","",""
"CAL","1454.0","103","99","104","82","103","99","103","102","105","99","99","93","","","",""
"KCR","1420.2","113","104","107","92","111","102","102","104","105","99","101","99","","","",""
"LAD","1442.0","110","93","119","109","111","93","97","96","99","98","101","99","","","",""
"MIN","1435.2","97","90","107","105","97","90","105","102","105","98","101","99","","","",""
"STL","1443.1","90","92","97","78","90","92","101","99","101","96","101","95","","","",""
"BAL","1435.1","86","99","87","126","86","99","102","101","97","102","106","111","","","",""
"MIL","1445.0","85","86","98","94","83","84","106","103","104","96","107","100","","","",""
"PHI","1449.0","90","126","72","98","89","124","99","105","97","98","107","109","","","",""
"NYY","1444.2","100","113","88","112","99","112","101","104","100","99","107","105","","","",""
"CLE","1427.1","96","96","100","128","95","95","104","103","102","101","107","110","","","",""
"CHC","1442.2","95","111","85","96","92","108","105","108","105","96","108","101","","","",""
"SFG","1446.1","85","107","79","104","84","105","104","105","101","100","111","109","","","",""
"DET","1430.1","95","122","78","121","93","120","100","106","97","100","112","112","","","",""
"ATL","1429.2","102","113","90","102","99","109","107","111","107","94","115","101","","","",""
