"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"NYY","101","61","49","530","163","1462.0","6.89","2.31","0.89",".302","70.4%","42.7%","9.3%","","4.03","","3.66","3.92","28.6"
"LAD","85","77","58","600","162","1457.2","7.96","3.25","0.78",".280","77.0%","48.0%","10.5%","","3.16","","3.56","3.63","27.0"
"ARI","84","78","42","614","162","1455.0","7.99","3.25","0.93",".293","73.1%","47.3%","11.4%","","3.84","","3.83","3.81","24.6"
"CHC","88","74","36","582","162","1456.1","8.68","3.81","0.88",".291","73.1%","47.1%","11.6%","","3.83","","3.80","3.75","24.1"
"CHW","86","76","36","523","162","1431.0","6.64","3.26","1.02",".281","71.4%","42.1%","10.5%","","4.17","","4.22","4.32","22.5"
"OAK","96","66","48","526","162","1441.2","6.36","3.12","0.87",".274","73.6%","46.6%","9.8%","","3.63","","4.03","4.21","22.4"
"BOS","95","67","36","599","162","1464.2","7.01","3.00","0.94",".300","67.9%","44.9%","10.4%","","4.49","","3.99","4.09","21.5"
"FLA","91","71","36","557","162","1445.1","7.05","3.30","0.80",".297","71.6%","42.1%","8.3%","","4.04","","3.80","4.21","21.3"
"MIN","90","72","45","561","162","1461.2","6.14","2.48","1.15",".290","71.1%","38.6%","10.4%","","4.41","","4.26","4.38","16.8"
"PHI","86","76","33","599","162","1443.2","6.61","3.34","0.89",".284","72.3%","45.3%","9.7%","","4.06","","4.12","4.32","16.6"
"HOU","87","75","50","664","162","1450.0","7.07","3.51","1.00",".281","74.4%","43.8%","10.7%","","3.87","","4.23","4.29","16.4"
"SEA","93","69","38","528","162","1441.0","6.25","2.91","1.08",".269","75.6%","39.2%","9.9%","","3.76","","4.29","4.49","16.1"
"SFG","100","61","43","622","161","1437.1","6.30","3.42","0.85",".278","74.4%","43.5%","8.9%","","3.73","","4.09","4.40","15.7"
"MON","83","79","42","599","162","1437.2","6.44","2.90","1.13",".290","73.5%","44.6%","12.2%","","4.01","","4.35","4.23","15.5"
"ATL","101","61","51","651","162","1456.1","6.13","3.43","0.91",".283","70.6%","47.6%","11.0%","","4.10","","4.21","4.24","15.2"
"TOR","86","76","35","605","162","1435.0","6.17","3.04","1.15",".302","69.2%","46.4%","12.7%","","4.69","","4.46","4.26","15.1"
"CLE","68","94","34","590","162","1459.1","5.82","3.09","1.10",".284","70.6%","44.0%","11.7%","","4.21","","4.49","4.43","12.1"
"BAL","71","91","41","588","163","1449.2","6.09","3.27","1.23",".301","71.5%","42.4%","12.4%","","4.76","","4.71","4.54","11.8"
"ANA","77","85","39","537","162","1431.1","6.16","3.06","1.19",".283","72.6%","39.4%","11.1%","","4.28","","4.57","4.58","11.3"
"KCR","83","79","36","570","162","1438.2","5.41","3.54","1.19",".295","68.9%","41.6%","11.0%","","5.07","","4.86","4.90","9.7"
"PIT","75","87","44","619","162","1444.1","5.77","3.13","1.11",".292","70.0%","45.2%","11.8%","","4.65","","4.52","4.44","9.1"
"TEX","71","91","43","656","162","1433.1","6.34","3.79","1.31",".313","66.1%","40.9%","13.9%","","5.69","","4.90","4.54","8.9"
"COL","74","88","34","662","162","1420.0","5.49","3.50","1.27",".307","69.2%","43.7%","12.9%","","5.24","","4.99","4.74","8.8"
"NYM","66","95","38","573","161","1413.1","5.78","3.67","1.07",".295","72.4%","42.1%","10.1%","","4.50","","4.61","4.78","8.3"
"STL","85","77","41","622","162","1463.2","5.96","3.12","1.29",".289","72.5%","41.1%","12.2%","","4.62","","4.75","4.60","7.3"
"MIL","68","94","44","622","162","1452.0","6.41","3.56","1.36",".300","70.5%","40.9%","12.5%","","5.03","","4.88","4.68","6.8"
"CIN","69","93","38","637","162","1446.1","5.80","3.67","1.30",".295","69.1%","42.6%","12.9%","","5.09","","4.94","4.70","6.6"
"SDP","64","98","31","635","162","1431.1","6.86","3.84","1.31",".289","70.7%","43.9%","13.7%","","4.87","","4.81","4.47","3.9"
"TBD","63","99","30","534","162","1436.2","5.49","4.00","1.23",".278","69.8%","40.1%","11.1%","","4.93","","5.12","5.13","3.1"
"DET","43","119","27","613","162","1438.2","4.78","3.48","1.22",".296","66.5%","42.5%","11.6%","","5.32","","5.01","4.95","2.9"
