"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"SFG","90","72","3.70","510","162","19","8","38","","","1471.0","6202","1407","669","604","146","547","86","27","59","25","1038"
"LAD","73","89","3.72","442","162","29","7","32","","","1455.0","6238","1415","675","601","130","565","62","28","54","18","1097"
"TOR","96","66","3.74","498","162","18","3","43","","","1454.0","6103","1323","655","605","158","567","65","22","56","14","1064"
"NYM","92","70","3.84","470","162","16","5","51","","","1454.0","6191","1407","698","621","135","510","51","34","42","13","1032"
"HOU","76","86","3.85","478","162","13","4","33","","","1441.1","6114","1363","678","616","141","525","61","26","39","14","1137"
"KCR","83","79","3.87","387","162","44","11","26","","","1424.0","6114","1424","691","612","128","548","27","36","54","6","923"
"MON","91","71","3.92","497","162","16","6","50","","","1450.1","6151","1428","720","632","145","446","45","26","47","14","1012"
"STL","95","67","3.94","524","162","10","4","48","","","1466.0","6254","1484","693","641","129","533","79","27","46","22","873"
"DET","98","64","4.02","409","162","33","8","31","","","1456.0","6267","1430","735","651","180","563","61","33","72","6","976"
"PHI","80","82","4.18","551","162","13","5","48","","","1448.1","6265","1453","749","673","167","587","86","35","35","23","877"
"PIT","80","82","4.20","475","162","25","10","39","","","1445.0","6131","1377","744","674","164","562","60","22","61","18","914"
"CIN","84","78","4.24","554","162","7","2","44","","","1452.1","6188","1486","752","685","170","485","68","22","33","13","919"
"SDP","65","97","4.28","497","162","14","6","33","","","1433.1","6206","1402","763","681","175","602","62","36","55","21","897"
"CHW","77","85","4.30","432","162","29","8","37","","","1447.2","6188","1436","746","691","189","537","28","35","35","3","792"
"CAL","75","87","4.38","406","162","20","3","36","","","1457.1","6221","1481","803","710","212","504","30","32","54","7","941"
"NYY","89","73","4.39","440","162","19","3","47","","","1446.1","6225","1475","758","706","179","542","31","32","61","9","900"
"OAK","81","81","4.40","490","162","18","2","40","","","1445.2","6238","1442","789","706","176","531","21","36","52","10","1042"
"SEA","78","84","4.52","413","162","39","6","33","","","1430.2","6167","1503","801","719","199","497","19","28","47","9","919"
"CHC","76","85","4.56","488","161","11","4","48","","","1434.2","6311","1524","801","727","159","628","67","27","58","29","1024"
"MIL","91","71","4.62","444","162","28","5","45","","","1464.0","6345","1548","817","752","169","529","33","26","44","8","1039"
"ATL","69","92","4.63","485","161","16","4","32","","","1427.2","6270","1529","829","734","163","587","55","39","41","9","837"
"TEX","75","87","4.63","490","162","20","0","27","","","1444.1","6390","1388","849","743","199","760","34","55","61","26","1103"
"MIN","85","77","4.67","451","162","16","2","39","","","1427.1","6205","1465","806","740","210","564","40","50","62","10","990"
"BOS","78","84","4.78","397","162","48","13","16","","","1436.0","6265","1584","825","763","190","517","38","31","37","9","1034"
"BAL","67","95","5.01","456","162","17","5","30","","","1439.2","6278","1555","880","802","226","547","50","27","52","8","870"
"CLE","61","101","5.28","470","162","24","4","25","","","1422.2","6395","1566","957","835","219","606","28","50","74","12","849"
