"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","4611","121","93","106","109","106","118","107","105","","","","","",""
"CHW","4556","115","81","105","106","102","112","97","102","","","","","",""
"CLE","4493","90","91","106","102","111","111","120","102","","","","","",""
"HOU","4500","100","103","101","102","104","109","108","102","","","","","",""
"CIN","4512","98","106","104","102","105","107","106","105","","","","","",""
"DET","4574","120","128","97","102","105","106","117","101","","","","","",""
"BAL","4386","105","97","100","101","101","102","103","98","","","","","",""
"LAD","4371","96","102","99","98","97","100","93","99","","","","","",""
"TEX","4531","102","105","103","103","101","100","97","105","","","","","",""
"SEA","4361","90","97","99","97","104","99","113","96","","","","","",""
"MON","4514","96","96","101","100","101","99","102","101","","","","","",""
"ATL","4349","99","99","97","98","101","97","108","95","","","","","",""
"STL","4450","111","100","96","99","97","97","98","96","","","","","",""
"MIN","4409","86","94","101","99","98","95","93","102","","","","","",""
"TOR","4462","91","101","99","97","98","94","96","99","","","","","",""
"KCR","4391","90","103","99","97","96","92","93","101","","","","","",""
"OAK","4396","100","101","95","96","92","92","87","95","","","","","",""
"CAL","4443","95","105","97","97","94","91","90","98","","","","","",""
"MIL","4494","98","98","96","97","94","91","90","98","","","","","",""
"SDP","4519","81","109","100","97","93","90","81","104","","","","","",""
"FLA","4387","91","110","97","96","92","90","84","100","","","","","",""
"BOS","4446","96","106","97","97","97","89","97","98","","","","","",""
"CHC","4386","95","111","94","95","94","89","93","97","","","","","",""
"SFG","4364","95","107","91","93","94","88","99","91","","","","","",""
"PHI","4436","102","104","95","97","91","87","83","99","","","","","",""
"COL","4493","96","110","100","99","102","87","106","102","","","","","",""
"NYM","4348","88","120","91","92","92","86","93","94","","","","","",""
"PIT","4301","93","109","94","94","90","82","81","98","","","","","",""
