"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6444","115","98","106","107","106","116","107","105","","","","","",""
"HOU","6441","107","106","104","105","103","113","100","107","","","","","",""
"SEA","6331","100","105","102","101","108","109","119","100","","","","","",""
"BAL","6304","107","88","100","102","103","109","108","96","","","","","",""
"TEX","6401","106","100","106","105","107","108","108","106","","","","","",""
"SFG","6484","116","97","102","104","99","108","95","102","","","","","",""
"ATL","6217","98","104","101","101","107","108","117","100","","","","","",""
"BOS","6302","98","102","103","102","107","107","114","103","","","","","",""
"STL","6413","117","112","96","100","104","104","117","96","","","","","",""
"CLE","6376","112","102","100","102","104","103","110","100","","","","","",""
"CHW","6281","100","89","100","100","103","103","107","96","","","","","",""
"TOR","6323","102","110","98","100","104","102","113","98","","","","","",""
"CHC","6394","104","116","98","99","102","100","109","100","","","","","",""
"SDP","6245","107","104","94","97","96","99","100","95","","","","","",""
"ANA","6280","92","100","100","98","96","94","89","102","","","","","",""
"OAK","6283","115","110","95","99","92","94","87","98","","","","","",""
"NYM","6257","102","102","96","97","93","93","87","98","","","","","",""
"CIN","6269","108","107","98","99","95","92","90","101","","","","","",""
"MIL","6232","95","101","97","97","93","91","88","98","","","","","",""
"DET","6243","83","105","97","95","96","90","94","98","","","","","",""
"LAD","6077","82","105","94","91","91","88","87","94","","","","","",""
"COL","6277","83","92","108","102","109","87","109","107","","","","","",""
"PHI","6300","90","104","98","96","93","87","84","101","","","","","",""
"FLA","6228","94","109","92","93","88","85","80","97","","","","","",""
"KCR","6191","87","97","97","95","92","85","85","98","","","","","",""
"MIN","6263","92","90","98","96","90","83","77","98","","","","","",""
"MON","6042","81","106","93","91","93","83","93","94","","","","","",""
"TBD","6157","87","110","96","94","89","83","77","101","","","","","",""
"ARI","6116","89","123","92","92","93","82","94","96","","","","","",""
"PIT","6113","71","105","94","92","88","78","78","98","","","","","",""
