"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"ATL","96","66","46","570","162","1469.0","7.63","2.76","0.74",".291","71.3%","","","","3.54","","3.50","","29.5"
"NYY","92","70","52","573","162","1440.0","7.12","3.81","0.89",".305","69.6%","","","","4.65","","4.25","","23.0"
"CLE","99","62","46","543","161","1452.1","6.40","3.00","1.07",".300","70.9%","","","","4.34","","4.38","","22.3"
"KCR","75","86","35","483","161","1450.0","5.75","2.86","1.09",".299","70.6%","","","","4.55","","4.54","","21.3"
"SDP","91","71","47","573","162","1489.0","7.22","3.06","0.83",".285","72.1%","","","","3.72","","3.88","","20.7"
"LAD","90","72","50","545","162","1466.1","7.44","3.28","0.77",".291","73.1%","","","","3.48","","3.80","","20.5"
"TEX","90","72","43","510","163","1449.1","6.06","3.61","1.04",".305","71.2%","","","","4.65","","4.63","","19.4"
"CHW","85","77","43","553","162","1461.0","6.40","3.79","1.07",".298","71.6%","","","","4.53","","4.64","","17.8"
"MON","88","74","43","595","162","1441.1","7.53","3.01","0.95",".284","72.9%","","","","3.78","","3.99","","17.6"
"FLA","80","82","41","579","162","1443.0","6.55","3.73","0.70",".292","71.1%","","","","3.95","","4.10","","17.2"
"TOR","74","88","35","465","162","1445.2","6.43","3.80","1.16",".293","70.6%","","","","4.58","","4.76","","16.7"
"BAL","88","74","44","541","163","1468.2","6.42","3.66","1.28",".305","68.6%","","","","5.15","","4.89","","15.3"
"BOS","85","77","37","571","162","1458.0","7.19","4.46","1.14",".315","68.8%","","","","5.00","","4.81","","15.1"
"PHI","67","95","42","549","162","1423.1","6.60","3.22","1.01",".297","68.3%","","","","4.48","","4.31","","13.5"
"STL","88","74","43","575","162","1452.1","6.51","3.34","1.07",".275","72.9%","","","","3.98","","4.46","","11.9"
"CIN","81","81","52","587","162","1443.0","6.79","3.69","1.04",".292","70.8%","","","","4.33","","4.48","","11.5"
"NYM","71","91","41","497","162","1440.0","6.24","3.33","0.99",".298","70.3%","","","","4.22","","4.42","","11.3"
"HOU","82","80","35","532","162","1447.0","7.23","3.35","0.96",".313","70.2%","","","","4.38","","4.21","","11.3"
"SEA","85","76","34","564","161","1431.2","6.29","3.80","1.36",".301","69.2%","","","","5.21","","5.13","","11.0"
"CAL","70","91","38","544","161","1439.0","6.58","4.14","1.37",".299","67.9%","","","","5.31","","5.24","","11.0"
"PIT","73","89","37","584","162","1453.1","6.47","2.97","1.13",".310","69.2%","","","","4.64","","4.46","","10.9"
"CHC","76","86","34","600","162","1456.1","6.35","3.37","1.14",".283","71.3%","","","","4.36","","4.64","","9.4"
"COL","83","79","34","609","162","1422.2","5.90","3.95","1.25",".306","65.9%","","","","5.60","","5.13","","9.2"
"OAK","78","84","34","580","162","1456.1","5.46","3.98","1.27",".304","70.1%","","","","5.20","","5.22","","8.8"
"MIN","78","84","31","549","162","1439.2","6.00","3.63","1.46",".292","69.1%","","","","5.30","","5.24","","8.6"
"MIL","80","82","42","546","162","1447.1","5.26","3.95","1.32",".290","69.4%","","","","5.15","","5.35","","8.4"
"SFG","68","94","35","587","162","1442.1","6.22","3.56","1.21",".295","68.7%","","","","4.72","","4.86","","4.7"
"DET","53","109","22","588","162","1432.2","6.01","4.93","1.51",".313","65.6%","","","","6.38","","5.83","","2.9"
