"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"OAK","1463.1","107","84","127","85","110","87","94","90","96","105","82","88","","","",""
"SEA","1465.0","100","88","113","89","104","92","88","86","88","106","82","95","","","",""
"ATL","1447.1","101","93","108","82","103","95","96","94","98","104","84","91","","","",""
"ARI","1459.2","114","85","133","104","118","88","95","91","98","104","86","91","","","",""
"BOS","1448.0","121","104","115","82","121","104","95","97","102","100","92","92","","","",""
"NYY","1451.1","122","89","137","89","124","91","96","94","102","101","92","86","","","",""
"STL","1435.1","97","99","98","106","98","100","98","98","97","106","92","104","","","",""
"TOR","1462.2","99","93","107","92","100","94","103","100","104","102","93","95","","","",""
"CHC","1437.0","120","103","116","89","121","104","95","97","101","101","94","89","","","",""
"ANA","1437.2","92","102","91","95","92","102","99","99","97","103","94","101","","","",""
"HOU","1454.2","109","90","120","118","109","91","100","97","100","102","97","101","","","",""
"PHI","1445.1","97","99","98","91","97","99","99","98","99","102","97","100","","","",""
"NYM","1445.2","106","82","129","100","108","84","98","94","100","101","97","95","","","",""
"MIN","1441.1","93","86","109","108","94","87","100","97","98","101","98","103","","","",""
"SFG","1463.1","95","107","89","77","95","107","99","101","100","98","100","98","","","",""
"CHW","1433.1","90","97","93","103","90","97","99","99","97","99","100","101","","","",""
"KCR","1440.0","88","111","79","118","88","110","104","106","100","99","101","109","","","",""
"COL","1430.0","95","113","84","130","93","110","105","108","102","96","101","106","","","",""
"MON","1431.1","99","99","100","103","98","98","104","104","104","98","103","99","","","",""
"FLA","1438.0","100","116","86","81","100","115","98","102","100","100","103","100","","","",""
"CLE","1446.2","118","110","107","83","117","109","101","104","107","97","104","90","","","",""
"LAD","1450.2","108","97","110","98","108","98","97","96","98","100","104","97","","","",""
"MIL","1436.1","95","126","75","106","92","123","101","108","99","101","106","110","","","",""
"CIN","1442.2","84","96","87","106","83","95","107","106","102","96","107","104","","","",""
"BAL","1432.1","91","103","89","110","90","101","101","102","98","99","109","106","","","",""
"TBD","1423.2","101","111","91","118","99","109","102","105","101","96","111","110","","","",""
"SDP","1440.2","97","89","109","118","96","88","103","101","101","99","111","109","","","",""
"PIT","1416.1","83","105","78","91","81","103","104","105","101","93","115","106","","","",""
"DET","1429.1","84","108","78","103","82","105","108","110","104","98","116","111","","","",""
"TEX","1438.1","92","115","80","126","89","111","109","113","106","96","121","112","","","",""
