"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"PHI","102","60","47","556","162","1477.0","7.92","2.46","0.73",".286","77.5%","46.5%","8.3%","92.5","3.02","","3.24","3.41","29.5"
"CHW","79","83","42","572","162","1460.0","7.52","2.71","0.91",".303","71.3%","44.2%","9.4%","92.6","4.10","","3.66","3.69","23.2"
"LAD","82","79","40","622","161","1432.0","7.95","3.19","0.83",".285","74.1%","42.8%","8.8%","92.7","3.56","","3.61","3.72","20.0"
"TEX","96","66","38","579","162","1441.1","7.36","2.88","1.06",".278","72.5%","42.6%","10.7%","93.3","3.79","","3.98","3.83","19.2"
"OAK","74","88","39","622","162","1447.2","7.21","3.23","0.85",".289","72.1%","44.1%","8.5%","92.2","3.71","","3.80","3.98","18.0"
"CLE","80","82","38","645","162","1453.1","6.34","2.87","0.95",".293","69.5%","45.4%","9.5%","92.7","4.24","","4.06","4.09","17.7"
"SEA","67","95","39","513","162","1433.0","6.83","2.74","0.91",".285","71.4%","43.8%","9.1%","92.3","3.91","","3.84","3.92","17.4"
"NYY","97","65","47","627","162","1458.1","7.54","3.13","0.94",".297","75.0%","44.2%","9.9%","92.9","3.73","","3.87","3.84","17.3"
"SFG","86","76","52","642","162","1468.0","8.07","3.43","0.59",".283","74.4%","46.4%","6.9%","92.2","3.21","","3.33","3.66","17.3"
"TBR","91","71","32","600","162","1449.0","7.10","3.13","1.00",".265","75.5%","42.1%","9.8%","92.8","3.58","","4.03","4.01","16.8"
"MIL","96","66","47","596","162","1441.2","7.85","2.75","0.92",".288","73.2%","44.7%","9.7%","91.8","3.64","","3.59","3.58","16.8"
"DET","95","67","52","583","162","1440.0","6.97","3.08","0.93",".292","71.1%","44.5%","9.3%","94.0","4.04","","3.96","4.00","16.7"
"FLA","72","90","40","670","162","1459.2","7.51","3.08","0.92",".292","71.5%","44.6%","9.6%","92.3","3.95","","3.79","3.80","15.3"
"SDP","71","91","44","651","162","1449.1","7.07","3.24","0.78",".283","74.5%","44.0%","8.2%","92.4","3.43","","3.73","3.93","15.1"
"LAA","86","76","39","548","162","1465.0","6.50","2.92","0.87",".282","74.5%","44.9%","8.8%","93.0","3.57","","3.89","4.01","15.0"
"BOS","90","72","36","606","162","1457.1","7.49","3.33","0.96",".285","70.8%","42.3%","9.1%","92.8","4.20","","4.05","4.13","14.3"
"ATL","89","73","52","672","162","1479.2","8.10","3.17","0.76",".288","75.2%","47.5%","9.2%","92.6","3.49","","3.49","3.54","14.2"
"COL","73","89","41","679","162","1447.2","6.95","3.25","1.09",".298","70.6%","46.1%","11.6%","93.0","4.44","","4.24","3.98","13.6"
"STL","90","72","47","630","162","1462.0","6.76","2.76","0.84",".296","71.6%","47.7%","9.3%","93.2","3.79","","3.75","3.79","12.0"
"NYM","77","85","43","676","162","1448.0","7.00","3.19","0.91",".299","71.2%","46.1%","9.4%","92.0","4.19","","4.00","4.04","11.9"
"ARI","94","68","58","625","162","1443.1","6.60","2.76","0.99",".286","73.9%","41.9%","9.5%","92.0","3.80","","4.02","4.05","11.8"
"WSN","80","81","49","664","161","1449.1","6.51","2.96","0.80",".287","73.6%","44.6%","8.2%","93.2","3.58","","3.83","4.04","11.6"
"CHC","71","91","40","657","162","1434.1","7.68","3.64","1.02",".301","71.3%","43.0%","10.3%","92.0","4.34","","4.11","4.02","11.0"
"TOR","81","81","33","636","162","1458.2","7.21","3.33","1.10",".290","71.6%","44.4%","11.3%","92.7","4.33","","4.29","4.06","10.7"
"KCR","71","91","37","582","162","1451.1","6.70","3.45","1.01",".299","71.5%","43.9%","9.9%","93.1","4.45","","4.27","4.24","10.7"
"PIT","72","90","43","711","162","1449.1","6.40","3.32","0.94",".300","73.7%","45.6%","9.8%","93.2","4.05","","4.20","4.18","8.5"
"MIN","63","99","32","619","162","1421.2","5.95","3.04","1.02",".307","69.1%","44.0%","9.5%","92.1","4.60","","4.30","4.33","7.7"
"CIN","79","83","39","663","162","1467.2","6.82","3.31","1.13",".282","73.7%","44.8%","11.5%","92.6","4.16","","4.37","4.11","6.2"
"HOU","56","106","25","665","162","1435.0","7.47","3.51","1.18",".301","70.8%","43.2%","12.0%","92.1","4.51","","4.35","4.02","5.6"
"BAL","69","93","32","640","162","1446.2","6.49","3.33","1.31",".302","69.5%","43.1%","12.1%","92.1","4.92","","4.67","4.29","4.9"
