"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"TOR","1446.2","111","87","126","83","114","90","92","89","95","105","80","87","91","100","107","92"
"CHC","1450.2","112","99","113","97","114","100","92","93","95","103","86","93","96","95","94","110"
"LAD","1447.1","107","87","124","75","110","89","96","92","100","101","88","86","87","94","112","88"
"ARI","1434.2","110","82","135","90","112","83","97","93","101","99","88","87","89","95","103","100"
"BOS","1446.1","111","103","108","92","112","104","94","95","97","102","89","97","98","99","100","101"
"PHI","1449.2","96","96","100","97","97","97","99","98","99","104","90","98","97","105","102","95"
"TBR","1457.2","106","98","109","103","109","100","93","92","93","104","90","98","100","94","93","111"
"CHW","1457.2","107","85","125","96","108","87","99","95","100","100","91","88","93","101","104","94"
"MIL","1455.2","98","95","103","106","100","96","97","96","96","104","91","100","96","99","103","97"
"LAA","1451.1","103","85","121","99","105","87","99","95","100","103","93","96","96","98","102","99"
"OAK","1435.0","100","109","92","85","102","110","95","97","96","102","95","99","105","102","94","106"
"NYM","1464.1","104","105","99","98","104","105","97","98","98","103","97","101","99","104","98","100"
"MIN","1459.0","92","75","122","113","94","76","104","97","101","101","97","102","99","102","96","103"
"NYY","1441.2","107","92","117","89","108","93","100","98","103","100","99","92","94","100","105","94"
"STL","1454.0","85","89","95","99","85","90","103","100","100","102","101","104","101","100","103","96"
"KCR","1445.2","102","96","105","99","102","97","100","99","100","97","101","98","101","100","96","104"
"SFG","1442.0","111","118","94","90","109","116","98","103","101","99","102","100","103","104","89","112"
"COL","1446.0","93","101","91","90","92","100","105","105","104","96","102","95","100","100","106","93"
"FLA","1435.1","101","107","95","99","100","106","98","101","98","98","103","103","102","99","94","107"
"CIN","1442.1","110","101","108","122","108","99","105","105","105","101","103","102","97","102","97","103"
"CLE","1437.0","93","84","110","107","94","84","103","99","101","100","104","102","99","103","102","96"
"HOU","1425.1","99","90","110","121","100","91","101","98","99","101","104","104","98","96","98","105"
"ATL","1440.2","96","106","91","95","96","106","99","101","99","97","106","102","97","99","110","89"
"WSN","1434.0","95","107","89","116","94","105","102","104","100","98","109","108","104","102","96","104"
"DET","1445.0","93","121","77","107","90","117","104","109","102","98","112","110","112","99","96","105"
"SDP","1458.1","97","100","97","99","98","101","100","100","99","99","112","104","100","101","96","104"
"SEA","1435.1","96","118","81","101","93","115","104","109","103","99","113","109","107","100","103","97"
"BAL","1422.0","88","131","67","117","84","125","104","112","100","99","116","114","116","95","102","100"
"TEX","1442.0","90","117","77","110","87","112","109","113","106","92","119","109","111","106","99","98"
"PIT","1455.0","85","118","72","106","82","114","109","113","105","97","120","113","110","103","100","98"
