"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"ATL","103","59","3.65","556","162","9","1","45","","","1471.0","6218","1398","661","596","142","507","55","26","34","3","1197"
"ARI","100","62","3.77","544","162","16","4","42","","","1467.1","6233","1387","676","615","176","543","48","49","39","10","1198"
"HOU","97","65","3.84","501","162","12","5","48","","","1458.2","6199","1485","675","622","128","478","17","40","54","0","1204"
"CIN","96","67","3.99","544","163","6","3","55","","","1462.0","6221","1309","711","648","190","636","46","45","65","3","1081"
"BOS","94","68","4.00","574","162","6","1","50","","","1436.2","6120","1396","718","638","160","469","25","55","28","0","1131"
"NYY","98","64","4.16","521","162","6","4","50","","","1439.2","6233","1402","731","665","158","581","27","57","49","4","1111"
"NYM","97","66","4.27","602","163","5","3","49","","","1456.2","6232","1372","711","691","167","617","53","52","38","4","1172"
"PIT","78","83","4.35","586","161","8","0","34","","","1433.1","6272","1444","782","692","160","633","54","51","54","10","1083"
"LAD","77","85","4.45","561","162","8","3","37","","","1452.2","6317","1438","787","718","192","594","26","62","53","9","1077"
"SDP","74","88","4.47","564","162","5","3","43","","","1420.1","6147","1454","781","705","193","529","48","35","73","5","1078"
"MON","68","94","4.69","594","162","6","3","44","","","1434.1","6321","1505","853","748","152","572","39","60","45","8","1043"
"SFG","86","76","4.71","612","162","6","1","42","","","1456.1","6430","1486","831","762","194","655","41","51","62","7","1076"
"STL","75","86","4.76","615","161","5","3","38","","","1445.1","6427","1519","838","764","161","667","38","63","60","9","1025"
"OAK","87","75","4.76","568","162","6","0","48","","","1438.1","6309","1537","846","761","160","569","45","54","57","8","967"
"BAL","78","84","4.77","555","162","17","4","33","","","1435.0","6259","1468","815","761","198","647","34","49","55","6","982"
"ANA","70","92","4.79","562","162","4","0","37","","","1431.1","6258","1472","826","762","177","624","17","56","65","5","877"
"FLA","64","98","4.90","614","162","6","2","33","","","1435.2","6389","1560","852","781","171","655","54","54","46","12","943"
"CLE","97","65","4.91","628","162","3","1","46","","","1450.1","6374","1503","860","792","197","634","55","54","53","3","1120"
"CHW","75","86","4.92","571","162","6","1","39","","","1438.1","6452","1608","870","787","210","596","31","61","60","9","968"
"TOR","84","78","4.93","539","162","14","3","39","","","1439.0","6368","1582","862","788","191","575","25","53","54","4","1009"
"PHI","77","85","4.93","603","162","11","2","32","","","1438.1","6348","1494","846","788","212","627","24","58","67","10","1030"
"MIN","63","97","5.03","578","161","13","3","34","","","1423.1","6216","1591","845","795","208","487","22","28","57","6","927"
"TBD","69","93","5.06","615","162","6","2","45","","","1433.0","6482","1606","913","805","172","695","25","79","53","5","1055"
"TEX","95","67","5.07","601","162","6","2","47","","","1436.1","6313","1626","859","809","186","509","23","40","50","2","979"
"MIL","74","87","5.08","614","161","2","0","40","","","1442.2","6477","1618","886","815","213","616","42","51","64","10","987"
"DET","69","92","5.22","581","161","4","2","33","","","1420.2","6286","1528","882","824","209","583","26","70","43","4","976"
"SEA","79","83","5.25","508","162","7","2","40","","","1433.2","6471","1613","905","836","191","684","39","71","63","3","980"
"CHC","67","95","5.27","602","162","11","3","32","","","1430.2","6359","1619","920","837","221","529","48","27","59","9","980"
"KCR","64","97","5.35","577","161","11","2","29","","","1420.2","6387","1607","921","845","202","643","34","68","59","6","831"
"COL","72","90","6.03","582","162","12","1","33","","","1429.0","6574","1700","1028","957","237","737","46","60","70","3","1032"
