"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"BOS","6320","110","89","109","108","109","113","108","107","102","101","98","101","99","99"
"SEA","6227","101","100","101","101","101","108","103","100","98","106","94","96","103","101"
"DET","6127","100","103","104","103","103","106","103","105","106","95","103","97","101","103"
"CHC","6335","120","103","98","104","101","106","105","99","100","95","106","110","99","86"
"STL","6223","98","103","98","99","104","105","114","97","94","96","109","107","94","98"
"TOR","6233","126","106","96","102","100","104","107","97","98","98","104","104","94","101"
"BAL","6089","96","105","99","99","105","103","113","98","94","96","108","102","99","99"
"HOU","6204","111","113","96","99","98","101","102","100","104","100","97","107","100","88"
"CLE","6155","108","98","102","102","101","100","101","102","102","97","103","101","100","98"
"NYM","6115","98","104","94","96","98","99","104","93","104","88","113","103","100","96"
"LAA","6041","97","79","101","100","95","99","87","97","98","104","97","95","105","102"
"TBR","6046","93","119","94","95","100","98","110","98","96","94","110","106","94","98"
"PIT","6261","104","104","99","101","94","97","88","102","101","105","93","102","99","99"
"LAD","6164","99","104","96","97","96","97","97","96","99","104","96","97","101","105"
"CHW","6131","93","101","100","99","97","97","92","102","100","105","93","95","98","111"
"SFG","6271","106","86","99","100","94","96","85","98","102","102","97","94","101","108"
"WSN","6201","100","98","98","99","100","96","103","96","92","99","107","104","98","97"
"MIN","6245","102","111","97","98","99","95","102","100","102","97","103","102","98","100"
"TEX","6089","89","97","102","100","102","95","103","100","98","102","99","101","101","96"
"MIA","6133","84","96","101","98","93","95","79","103","102","109","87","91","105","107"
"COL","6236","92","104","106","102","108","94","111","107","104","99","99","97","99","106"
"ARI","6260","86","111","100","97","102","93","104","104","98","108","90","97","101","103"
"MIL","6061","114","124","94","98","96","92","99","100","96","105","96","94","103","105"
"NYY","6058","98","95","98","98","96","92","92","97","101","103","96","102","100","97"
"OAK","6022","92","92","95","94","93","89","89","94","103","97","102","94","103","105"
"KCR","6052","79","98","101","97","94","89","83","104","99","107","92","95","103","104"
"CIN","6094","86","103","98","96","96","89","92","100","105","99","98","99","102","99"
"ATL","6192","94","98","98","97","90","86","79","100","100","106","92","88","104","113"
"SDP","6000","87","122","90","91","92","84","94","95","97","101","101","102","99","99"
"PHI","5992","82","112","92","91","90","81","88","96","96","105","96","97","105","98"
