"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"DET","6202","93","94","109","105","109","112","109","107","107","96","101","101","100","99"
"LAD","6231","106","100","104","104","103","112","101","105","100","107","91","93","100","110"
"LAA","6284","101","102","102","102","104","110","107","102","99","103","97","101","98","101"
"PIT","6224","107","100","101","103","102","108","104","101","100","99","101","104","99","95"
"TOR","6167","106","95","102","102","106","107","113","99","96","101","101","102","96","103"
"BAL","6130","85","106","101","98","108","104","121","99","95","98","105","103","100","95"
"OAK","6245","122","90","96","101","97","102","99","93","97","88","117","100","102","97"
"MIN","6233","113","108","100","102","99","100","98","104","102","99","100","100","98","103"
"SFG","6087","90","102","99","97","98","99","96","100","97","98","104","98","103","99"
"WSN","6216","106","105","99","100","99","99","101","100","98","101","100","101","97","101"
"CHW","6077","89","114","100","98","102","99","106","103","101","105","94","97","98","108"
"CLE","6222","105","97","100","100","99","98","99","99","106","97","100","103","97","100"
"HOU","6055","106","121","95","98","98","98","102","100","98","98","104","97","105","98"
"COL","6164","82","104","108","102","113","97","121","107","101","102","96","96","103","102"
"TBR","6205","110","92","97","100","94","97","87","96","95","103","99","102","100","97"
"STL","6086","99","93","99","100","93","95","84","99","101","104","94","92","104","106"
"MIA","6185","103","115","99","99","95","95","90","104","96","109","90","89","105","109"
"SEA","5977","86","105","96","95","96","94","96","97","100","101","98","95","102","106"
"NYY","6082","96","94","97","97","97","94","98","95","102","99","100","101","102","96"
"MIL","6065","89","99","98","97","100","94","106","96","97","100","103","97","98","107"
"KCR","6058","81","82","104","99","96","92","82","101","100","106","92","100","98","104"
"NYM","6145","107","103","93","96","92","92","90","94","102","94","107","102","97","100"
"CHC","6102","93","121","93","94","97","91","105","97","97","95","109","105","99","94"
"TEX","6026","90","98","101","99","96","90","86","102","98","109","91","94","106","102"
"BOS","6226","111","109","96","100","94","89","91","100","102","99","100","101","102","95"
"PHI","6198","91","105","94","94","92","86","87","96","101","102","97","107","96","95"
"ATL","6064","99","113","94","95","91","86","86","98","99","102","98","99","101","101"
"ARI","6089","84","96","97","94","95","83","92","97","100","105","93","93","105","104"
"CIN","5978","89","105","93","93","92","83","92","94","100","98","103","101","98","102"
"SDP","5905","101","110","88","91","86","82","83","91","97","108","91","100","100","99"
