"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"ATL","68","46","26","358","114","1026.1","7.59","3.31","0.67",".286","72.1%","","","","3.57","","3.58","","20.3"
"KCR","64","51","38","362","115","1031.2","6.25","3.42","0.83",".289","69.5%","","","","4.24","","4.17","","16.1"
"MON","74","40","46","373","114","1036.2","6.99","2.50","0.87",".281","72.8%","","","","3.57","","3.78","","15.9"
"SDP","47","70","27","390","117","1045.2","7.42","3.38","0.85",".291","69.5%","","","","4.08","","3.91","","15.4"
"CHW","67","46","20","352","113","1011.1","6.71","3.35","1.02",".279","71.8%","","","","3.96","","4.29","","14.8"
"CLE","66","47","21","335","113","1018.2","5.88","3.57","0.83",".306","69.5%","","","","4.39","","4.33","","14.5"
"CIN","66","48","27","376","115","1038.1","6.93","2.94","1.01",".294","73.7%","","","","3.78","","4.11","","13.3"
"NYY","70","43","31","354","113","1019.2","5.79","3.51","1.06",".288","71.8%","","","","4.34","","4.61","","12.2"
"TOR","55","60","26","336","115","1025.0","7.31","4.23","1.12",".302","71.1%","","","","4.70","","4.62","","12.1"
"BAL","63","49","37","346","112","997.2","6.01","3.17","1.18",".283","73.8%","","","","4.31","","4.64","","12.0"
"LAD","58","56","20","353","114","1014.0","6.50","3.14","0.80",".301","70.6%","","","","4.17","","3.99","","11.9"
"SEA","49","63","21","364","112","984.0","6.98","4.45","1.00",".311","67.2%","","","","5.01","","4.59","","11.9"
"BOS","54","61","30","423","115","1029.1","6.37","3.93","1.05",".305","68.0%","","","","4.95","","4.63","","11.0"
"PHI","54","61","30","358","115","1024.1","6.14","3.31","0.86",".287","72.2%","","","","3.86","","4.20","","10.6"
"HOU","66","49","29","383","115","1029.2","6.46","3.21","0.89",".297","72.3%","","","","3.97","","4.15","","9.3"
"NYM","55","58","35","351","113","1023.0","5.63","2.92","1.03",".291","71.2%","","","","4.15","","4.40","","9.2"
"CHC","49","64","27","399","113","1023.2","6.30","3.45","1.06",".295","70.6%","","","","4.47","","4.46","","8.1"
"MIL","53","62","23","367","115","1036.0","5.01","3.66","1.10",".283","69.6%","","","","4.62","","4.91","","7.8"
"TEX","52","62","26","415","114","1023.0","6.01","3.47","1.38",".306","65.5%","","","","5.45","","5.04","","6.9"
"CAL","47","68","21","372","115","1027.0","5.98","3.82","1.31",".307","68.3%","","","","5.43","","5.11","","6.9"
"OAK","51","63","23","422","114","1003.1","6.57","4.57","1.15",".282","69.5%","","","","4.82","","4.96","","6.8"
"COL","53","64","28","446","117","1031.0","6.14","3.91","1.05",".320","69.0%","","","","5.17","","4.73","","6.4"
"SFG","55","60","33","402","115","1025.1","5.75","3.27","1.07",".280","73.7%","","","","3.99","","4.60","","6.1"
"PIT","53","61","24","399","114","1005.2","5.82","3.31","1.05",".304","69.0%","","","","4.65","","4.58","","5.8"
"MIN","53","60","29","385","113","1005.0","5.39","3.47","1.37",".313","66.2%","","","","5.69","","5.16","","5.7"
"DET","53","62","20","361","115","1017.2","4.95","3.97","1.31",".292","67.0%","","","","5.39","","5.32","","4.9"
"FLA","51","64","30","415","115","1014.2","5.76","3.80","1.06",".293","70.2%","","","","4.51","","4.77","","4.1"
"STL","53","61","29","445","115","1018.0","5.59","3.14","1.18",".308","68.1%","","","","5.17","","4.76","","3.0"
