"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6325","116","96","104","105","105","114","109","102","","","","","",""
"DET","6269","111","94","100","103","104","110","110","97","","","","","",""
"NYM","6349","107","105","101","102","102","108","104","101","","","","","",""
"CLE","6288","82","100","109","102","105","106","100","110","","","","","",""
"TOR","6318","89","89","103","100","105","104","107","100","","","","","",""
"BOS","6255","108","75","103","105","102","103","99","100","","","","","",""
"CAL","6297","121","91","98","103","99","103","102","95","","","","","",""
"TEX","6148","94","118","102","100","105","103","109","105","","","","","",""
"OAK","6127","102","107","96","98","96","100","95","97","","","","","",""
"MIN","6151","92","106","100","99","105","100","114","99","","","","","",""
"BAL","6203","103","92","99","99","97","99","93","97","","","","","",""
"HOU","6095","95","103","98","97","97","97","95","98","","","","","",""
"PHI","6229","102","127","97","99","101","97","111","101","","","","","",""
"SDP","6118","85","103","100","97","98","96","95","100","","","","","",""
"SFG","6212","93","120","97","97","95","95","92","102","","","","","",""
"SEA","6187","105","123","97","99","98","94","99","102","","","","","",""
"MON","6174","94","113","97","97","96","94","94","101","","","","","",""
"CIN","6246","101","101","97","98","98","92","101","97","","","","","",""
"PIT","6164","100","103","96","97","95","91","93","97","","","","","",""
"MIL","6126","98","107","98","97","94","91","89","100","","","","","",""
"LAD","6101","85","109","96","94","94","91","90","97","","","","","",""
"KCR","6128","88","100","96","95","96","89","94","97","","","","","",""
"CHC","6127","90","108","98","96","101","89","106","98","","","","","",""
"ATL","6069","96","102","96","96","97","85","98","96","","","","","",""
"CHW","6030","91","104","94","94","89","80","79","96","","","","","",""
"STL","6122","100","101","90","93","83","76","68","94","","","","","",""
