"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"OAK","6240","118","108","98","103","101","109","107","98","","","","","",""
"DET","6224","115","104","100","103","105","109","117","99","","","","","",""
"TOR","6223","96","106","102","100","108","107","120","101","","","","","",""
"PIT","6161","108","106","98","100","102","104","110","98","","","","","",""
"CAL","6267","102","109","100","100","101","104","102","101","","","","","",""
"NYM","6182","99","98","97","98","103","103","114","94","","","","","",""
"KCR","6099","92","98","103","100","102","102","100","104","","","","","",""
"BOS","6234","109","87","105","105","102","102","96","104","","","","","",""
"SFG","6216","90","111","99","98","100","100","101","100","","","","","",""
"BAL","6223","120","105","95","101","95","99","97","96","","","","","",""
"TEX","6177","105","116","100","101","97","98","91","105","","","","","",""
"CLE","6087","85","93","103","99","101","97","96","103","","","","","",""
"MIL","6185","95","90","99","98","99","97","99","96","","","","","",""
"LAD","6179","99","110","99","99","96","97","91","101","","","","","",""
"SEA","6207","109","82","100","102","96","97","89","98","","","","","",""
"CHW","6038","90","102","100","98","98","94","95","101","","","","","",""
"CIN","6163","86","105","100","98","101","94","101","102","","","","","",""
"MIN","6086","83","84","102","99","99","94","93","101","","","","","",""
"SDP","6218","93","103","97","97","96","91","93","98","","","","","",""
"MON","6189","106","118","95","97","93","90","91","99","","","","","",""
"ATL","6084","89","118","95","94","100","89","110","96","","","","","",""
"PHI","6245","106","104","96","99","91","89","82","99","","","","","",""
"CHC","6149","75","101","100","95","99","87","97","99","","","","","",""
"STL","6127","96","98","97","97","90","86","77","99","","","","","",""
"HOU","6076","103","117","92","95","87","85","78","96","","","","","",""
"NYY","6037","80","116","93","92","95","85","98","94","","","","","",""
