"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6449","117","90","106","108","111","117","120","102","105","101","96","100","100","101"
"TBR","6223","117","113","98","102","102","109","109","101","106","95","102","105","96","98"
"LAA","6305","98","96","107","104","103","108","96","107","101","104","95","96","102","103"
"BOS","6344","118","101","101","105","106","106","114","100","100","92","109","106","100","91"
"MIN","6346","105","92","103","102","100","104","95","102","97","107","93","94","102","107"
"PHI","6338","100","104","97","99","106","103","121","95","103","93","106","106","102","87"
"MIL","6296","104","112","99","101","101","103","105","101","95","100","103","100","102","97"
"LAD","6385","103","96","102","102","98","102","90","102","109","105","90","92","103","108"
"TOR","6362","98","93","100","99","103","101","108","97","98","92","110","102","104","91"
"CLE","6320","105","110","99","101","97","100","95","102","107","102","94","102","97","100"
"STL","6168","92","97","99","98","98","98","97","98","95","103","99","101","99","99"
"FLA","6312","97","111","101","100","98","97","94","104","102","97","102","101","97","101"
"ATL","6335","102","96","99","100","96","97","91","99","104","100","97","99","102","98"
"WSN","6273","106","110","97","99","96","96","95","100","98","103","97","104","97","98"
"COL","6241","114","117","98","101","104","96","115","101","100","96","105","101","97","102"
"NYM","6159","92","86","102","99","93","94","80","102","105","108","89","90","105","110"
"DET","6234","98","103","97","98","97","94","96","98","98","99","102","104","95","100"
"OAK","6247","96","96","98","98","93","94","83","99","104","97","101","90","105","110"
"BAL","6233","94","93","100","99","97","93","91","100","97","104","97","99","98","104"
"SDP","6179","102","109","91","95","90","93","88","94","96","101","100","102","98","100"
"TEX","6127","87","117","97","95","104","92","114","98","103","94","105","100","104","95"
"CHW","6132","99","96","97","98","96","91","95","95","93","102","101","103","95","100"
"CHC","6244","102","109","96","98","96","90","97","98","102","99","100","99","102","100"
"HOU","6040","80","94","98","94","95","89","89","97","94","110","91","95","104","103"
"SEA","6113","78","103","97","93","94","89","89","98","94","104","98","106","98","94"
"ARI","6269","98","118","95","96","99","89","105","99","94","99","104","94","102","107"
"KCR","6103","85","103","97","95","94","88","90","99","97","107","94","92","103","108"
"PIT","6058","89","108","95","94","92","86","86","98","96","104","97","100","101","99"
"CIN","6187","93","104","93","94","93","84","94","93","96","100","102","96","102","103"
"SFG","6057","70","109","97","91","92","83","85","100","97","105","96","95","100","107"
