"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"CLE","1437.2","107","86","124","89","110","88","94","91","98","106","80","89","94","102","94","106"
"LAD","1445.2","106","74","143","85","111","77","89","83","92","103","81","85","87","97","103","98"
"HOU","1462.1","117","84","139","98","123","88","87","84","91","107","83","89","83","96","103","99"
"TBR","1474.1","112","84","133","76","117","88","91","87","97","103","83","83","85","100","104","95"
"MIN","1463.1","102","84","120","84","103","85","101","97","104","100","90","88","93","109","99","96"
"OAK","1465.0","91","89","101","85","93","91","95","92","93","105","90","97","103","99","98","103"
"STL","1444.0","98","103","95","87","99","105","95","96","96","104","90","98","98","103","103","94"
"CIN","1438.0","109","102","107","98","110","103","94","95","97","101","93","93","92","100","102","98"
"NYY","1443.0","109","96","112","107","110","98","98","97","99","105","93","95","93","98","100","101"
"CHC","1442.0","101","101","100","89","101","101","100","100","102","102","94","97","97","102","106","92"
"ATL","1450.2","97","103","93","93","96","102","102","103","103","101","94","100","100","103","104","93"
"ARI","1465.0","98","96","102","99","99","97","100","99","100","102","96","100","100","101","99","100"
"WSN","1439.1","106","97","107","93","106","98","98","97","101","100","96","92","97","97","98","104"
"BOS","1471.0","113","113","101","91","112","112","99","102","105","99","97","95","96","97","101","101"
"MIL","1459.1","103","106","97","102","103","106","98","100","99","100","100","101","100","102","97","102"
"TEX","1438.0","98","111","88","104","95","108","105","108","105","98","101","101","105","103","99","100"
"NYM","1461.0","105","93","112","92","105","94","100","99","103","101","102","94","97","95","100","103"
"SFG","1469.0","94","96","97","102","94","97","100","99","97","100","103","108","103","102","97","102"
"PHI","1453.2","96","102","93","117","96","102","104","104","101","103","103","107","103","103","99","99"
"TOR","1440.1","94","115","82","98","93","113","102","106","101","100","104","104","106","100","102","98"
"CHW","1412.2","95","113","84","105","94","111","103","106","101","99","108","105","105","99","102","98"
"SDP","1432.0","104","88","117","99","103","88","100","98","102","96","109","96","97","98","99","102"
"KCR","1425.0","88","112","78","96","86","109","107","110","104","98","110","109","109","102","104","94"
"COL","1448.2","88","111","79","123","85","107","111","113","104","94","111","112","107","101","106","91"
"LAA","1442.2","99","109","91","115","98","108","100","103","98","99","111","109","105","104","95","103"
"DET","1433.0","97","102","95","108","95","100","108","108","106","96","112","104","104","98","101","100"
"SEA","1439.1","88","96","91","112","87","95","103","103","98","95","112","111","106","98","103","98"
"MIA","1444.1","96","116","83","108","95","115","98","102","95","99","114","114","114","97","88","116"
"PIT","1440.0","101","111","91","111","97","107","107","110","107","95","120","108","106","98","97","105"
"BAL","1443.0","88","106","83","131","86","103","106","108","99","95","123","117","114","96","96","107"
