"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"SFG","1461.0","111","107","103","88","113","109","92","94","95","107","87","97","99","94","94","110"
"TEX","1455.1","107","105","101","101","107","106","95","97","96","102","89","96","100","102","95","105"
"OAK","1431.2","98","99","98","97","100","101","95","95","94","104","89","101","98","96","105","96"
"ATL","1439.1","105","95","110","84","107","97","96","94","98","102","89","92","91","95","111","88"
"COL","1442.0","104","99","105","93","105","99","100","99","102","98","91","90","95","104","104","93"
"STL","1453.2","92","89","103","88","93","90","100","96","99","102","91","98","97","96","111","89"
"PHI","1456.1","99","78","127","111","101","79","99","93","98","104","91","98","94","92","104","99"
"SDP","1456.1","108","96","112","92","112","99","94","93","97","106","92","95","92","97","103","98"
"CHW","1446.1","105","94","111","86","105","94","102","101","105","99","94","87","94","103","102","96"
"MIN","1452.2","95","73","129","97","97","75","104","96","103","102","95","95","94","103","102","97"
"NYY","1442.1","105","104","101","113","107","105","97","97","97","103","95","100","99","95","100","102"
"NYM","1453.0","93","102","91","90","93","102","101","101","100","104","96","102","104","101","100","99"
"TBR","1453.2","108","91","117","110","110","93","95","93","96","104","96","101","96","100","94","107"
"BOS","1456.2","109","111","98","95","109","110","98","101","101","98","96","99","99","99","99","101"
"CIN","1453.0","95","98","97","105","96","99","99","98","98","102","98","100","103","101","96","104"
"FLA","1438.1","99","104","95","90","98","103","101","102","102","99","100","100","103","98","98","104"
"TOR","1440.2","108","104","104","95","108","104","100","100","102","99","101","96","96","98","104","96"
"LAA","1449.1","103","108","95","93","102","108","99","102","100","101","101","101","102","102","97","102"
"DET","1444.1","96","103","93","90","96","103","102","102","102","98","102","99","103","99","100","100"
"SEA","1438.0","89","87","102","100","90","88","99","96","96","99","102","104","101","101","99","101"
"CHC","1436.2","108","114","94","103","105","112","99","104","101","97","103","102","102","101","97","103"
"WSN","1435.0","91","97","93","101","90","96","103","102","100","98","103","103","103","106","99","98"
"HOU","1439.1","102","103","98","94","102","103","102","103","103","98","103","97","99","102","99","100"
"LAD","1441.2","108","101","106","90","108","102","95","96","97","98","105","96","97","98","100","102"
"CLE","1433.0","89","111","79","94","88","109","104","106","102","99","107","107","106","97","109","91"
"BAL","1436.1","92","101","92","118","91","99","104","105","101","99","108","105","106","100","96","105"
"ARI","1432.0","91","104","87","141","89","102","105","106","100","97","113","117","109","103","93","106"
"MIL","1439.0","106","110","97","116","104","107","104","107","104","97","114","104","102","105","93","105"
"KCR","1436.2","95","107","88","112","92","104","107","109","105","95","119","109","106","104","97","102"
"PIT","1411.2","89","103","86","114","85","99","109","111","105","93","128","113","109","104","98","100"
