"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"HOU","2248","101","75","112","108","106","117","97","105","112","96","98","95","107","99"
"CHW","2159","121","100","107","110","102","114","95","110","101","112","85","94","103","105"
"TOR","2099","92","92","109","104","110","111","113","104","103","95","104","97","101","105"
"LAD","2284","122","102","99","105","100","110","103","101","99","97","105","105","96","98"
"OAK","2223","111","98","98","102","103","109","110","95","99","94","108","102","101","96"
"MIN","2190","104","98","101","101","106","106","114","98","99","99","101","107","95","96"
"BOS","2154","82","100","108","102","109","106","111","109","104","99","98","100","98","102"
"SFG","2173","114","113","97","100","104","106","114","99","104","96","103","104","102","92"
"CIN","2154","92","97","103","101","106","105","110","100","102","102","96","101","96","103"
"TBR","2320","115","114","96","101","98","103","100","102","89","101","105","102","104","92"
"ATL","2088","101","109","97","98","107","102","121","96","102","91","109","100","105","94"
"LAA","2121","82","98","104","99","103","102","103","103","105","98","100","102","95","103"
"CHC","2161","95","110","98","98","101","100","105","100","94","106","96","100","100","99"
"SDP","2286","109","93","98","100","93","97","87","96","91","108","96","102","97","101"
"NYY","2172","122","106","95","101","92","94","89","97","95","105","97","96","106","99"
"NYM","1849","96","103","96","97","90","94","81","100","102","101","97","99","98","104"
"BAL","2120","90","98","98","96","98","94","97","98","95","100","103","100","95","106"
"KCR","2047","91","93","102","99","97","93","91","100","99","101","100","102","98","99"
"ARI","2302","96","103","98","97","96","92","94","100","101","98","102","105","93","102"
"WSN","2029","86","99","102","99","95","92","85","104","103","111","85","91","111","99"
"STL","2182","87","100","95","94","96","91","99","93","100","95","106","102","99","98"
"PHI","2114","93","117","98","97","95","91","91","105","99","107","92","95","101","107"
"TEX","2205","92","108","96","95","93","89","89","98","97","109","91","97","102","102"
"MIA","2108","85","115","95","93","91","88","85","102","92","105","98","92","101","111"
"DET","2111","98","117","95","95","92","86","87","102","111","99","95","98","97","107"
"CLE","2012","95","98","92","93","96","86","101","90","97","99","103","100","101","98"
"SEA","2122","99","110","86","90","91","86","98","88","93","93","112","107","96","94"
"MIL","2149","99","115","88","92","92","85","98","90","98","100","102","102","101","96"
"PIT","2109","90","100","95","94","87","83","74","99","103","103","95","92","103","109"
"COL","2154","87","101","101","96","97","78","92","103","104","101","97","91","102","112"
