"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"ATL","104","58","3.14","515","162","18","5","46","","","1455.0","6015","1297","559","507","101","480","59","22","46","9","1036"
"HOU","85","77","3.49","486","162","18","10","42","","","1441.1","6079","1363","630","559","117","476","52","41","60","12","1056"
"LAD","81","81","3.50","508","162","17","6","36","","","1472.2","6274","1406","662","573","103","567","68","37","47","20","1043"
"MON","94","68","3.55","548","163","8","0","61","","","1456.2","6191","1369","682","574","119","521","38","47","46","12","934"
"SFG","103","59","3.63","576","162","4","2","50","","","1456.2","6077","1385","636","587","168","442","46","50","33","18","982"
"CHW","94","68","3.72","484","162","16","7","48","","","1454.0","6173","1398","664","601","125","566","36","40","51","7","974"
"BOS","80","82","3.80","551","162","9","5","44","","","1452.1","6201","1379","698","614","127","552","87","48","42","11","997"
"PHI","97","65","3.97","512","162","24","8","46","","","1473.0","6360","1419","740","649","129","573","33","37","74","7","1117"
"KCR","84","78","4.04","465","162","16","3","48","","","1445.1","6145","1379","694","649","105","571","36","44","76","7","985"
"NYM","59","103","4.05","459","162","16","5","22","","","1438.0","6151","1483","744","647","139","434","61","50","32","14","867"
"STL","87","75","4.10","584","162","5","0","54","","","1453.0","6196","1553","744","662","152","383","50","43","40","7","775"
"FLA","64","98","4.15","571","162","4","1","48","","","1440.1","6261","1437","724","664","135","598","58","32","85","20","945"
"CHC","84","78","4.18","585","163","8","2","56","","","1449.2","6178","1514","739","673","153","470","61","43","43","21","905"
"SEA","82","80","4.20","515","162","22","5","41","","","1453.2","6254","1421","731","679","135","605","56","66","57","6","1083"
"TOR","95","67","4.22","506","162","11","4","50","","","1441.1","6269","1441","742","676","134","620","38","32","81","8","1023"
"SDP","61","101","4.23","559","162","8","2","32","","","1437.2","6267","1470","772","675","148","558","72","34","57","14","957"
"TEX","86","76","4.28","521","162","20","3","45","","","1438.1","6232","1476","751","684","144","562","42","44","52","14","957"
"BAL","85","77","4.32","491","162","21","6","42","","","1442.2","6183","1427","745","693","153","579","50","38","41","2","900"
"CAL","71","91","4.36","482","162","26","3","41","","","1430.1","6203","1482","770","693","153","550","35","51","55","7","843"
"NYY","88","74","4.37","494","162","11","4","38","","","1438.1","6200","1467","761","698","170","552","58","29","33","5","899"
"MIL","69","93","4.47","515","162","26","2","29","","","1447.0","6285","1511","792","718","153","522","58","60","45","7","810"
"CIN","73","89","4.51","537","162","11","4","37","","","1434.0","6218","1510","785","719","158","508","36","44","47","8","996"
"CLE","76","86","4.58","572","162","7","1","45","","","1445.2","6384","1591","813","735","182","591","53","39","41","5","888"
"DET","85","77","4.70","537","162","11","5","36","","","1436.2","6308","1547","837","751","188","542","92","48","68","5","828"
"MIN","71","91","4.73","518","162","5","1","44","","","1444.1","6286","1591","830","759","148","514","34","45","42","13","901"
"PIT","75","87","4.77","546","162","12","4","34","","","1445.2","6247","1557","806","766","153","485","43","46","55","11","832"
"OAK","68","94","4.90","586","162","8","1","42","","","1452.1","6456","1551","846","791","157","680","59","49","39","6","864"
"COL","67","95","5.44","615","162","9","0","35","","","1431.1","6471","1664","967","865","181","609","66","41","82","22","913"
