"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6359","108","97","105","105","107","114","111","103","","","","","",""
"DET","6505","129","117","103","107","106","114","112","106","","","","","",""
"TOR","6319","102","92","105","104","107","109","112","103","","","","","",""
"SFG","6271","97","102","102","101","103","107","106","102","","","","","",""
"PHI","6527","120","111","101","104","103","106","107","104","","","","","",""
"BAL","6310","114","100","100","103","101","104","104","100","","","","","",""
"CHW","6253","106","90","99","100","101","104","104","97","","","","","",""
"TEX","6166","86","108","100","97","106","103","116","100","","","","","",""
"HOU","6136","95","103","99","98","99","101","100","99","","","","","",""
"OAK","6295","108","113","95","98","97","101","99","97","","","","","",""
"STL","6279","110","97","100","102","96","99","87","101","","","","","",""
"SEA","6288","109","97","98","100","100","99","104","96","","","","","",""
"CLE","6267","85","91","103","99","100","99","94","102","","","","","",""
"CHC","6217","84","103","100","97","100","95","101","100","","","","","",""
"PIT","6269","100","107","99","100","95","95","89","102","","","","","",""
"ATL","6234","105","105","97","99","99","94","103","96","","","","","",""
"LAD","6261","92","103","96","96","93","92","86","98","","","","","",""
"CAL","6089","101","103","97","98","93","92","85","99","","","","","",""
"CIN","6164","92","115","97","96","96","91","93","100","","","","","",""
"MIN","6209","87","93","99","97","95","90","86","99","","","","","",""
"MON","6233","102","95","95","97","93","90","91","95","","","","","",""
"BOS","6196","90","95","99","98","97","90","93","100","","","","","",""
"KCR","6101","77","104","99","95","97","89","95","100","","","","","",""
"MIL","6222","98","101","97","97","93","89","85","98","","","","","",""
"SDP","6137","85","118","93","93","94","86","97","95","","","","","",""
"NYM","6057","87","100","91","91","95","85","100","90","","","","","",""
"COL","6073","75","107","101","96","102","84","105","102","","","","","",""
"FLA","6127","95","119","91","93","84","79","70","97","","","","","",""
