"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"HOU","6271","96","81","110","106","111","121","113","104","96","101","101","100","101","100"
"NYY","6354","115","102","102","104","104","109","107","102","101","99","101","102","97","101"
"CLE","6234","115","87","103","104","105","105","107","99","100","99","101","104","100","93"
"LAD","6191","117","106","95","100","100","104","107","96","98","97","105","101","98","101"
"OAK","6126","110","114","96","98","101","103","109","99","102","88","113","97","103","101"
"MIN","6261","112","101","101","103","101","103","100","103","104","96","102","101","100","98"
"SEA","6166","94","96","101","100","99","103","95","101","95","102","100","98","104","98"
"CHC","6283","110","106","98","101","100","101","104","99","95","103","99","106","98","94"
"MIA","6248","86","98","102","99","98","101","93","102","97","112","87","94","102","106"
"STL","6219","106","103","98","100","97","101","96","100","102","98","101","104","97","97"
"NYM","6169","95","100","96","96","99","101","105","94","98","91","112","102","102","95"
"WSN","6214","97","102","102","100","103","99","104","102","99","99","102","99","99","103"
"TBR","6147","105","117","95","98","98","99","102","99","99","100","101","101","100","99"
"DET","6150","97","100","101","100","99","98","95","103","114","97","95","95","99","110"
"CHW","6059","79","108","100","97","97","95","93","104","96","109","92","99","97","106"
"BAL","6140","76","108","101","96","101","95","101","103","100","101","99","101","101","97"
"ARI","6224","103","111","97","99","102","95","108","100","98","102","98","97","104","99"
"CIN","6213","101","102","97","99","99","95","102","96","101","96","104","102","99","98"
"MIL","6135","99","122","95","97","98","94","102","101","103","103","94","99","100","101"
"TOR","6154","105","101","94","96","96","93","99","93","95","101","102","99","100","101"
"LAA","6073","102","93","95","97","92","92","89","93","92","107","96","105","99","94"
"BOS","6338","107","91","101","102","95","91","86","101","100","105","95","95","103","105"
"KCR","6027","77","91","101","96","98","91","92","99","110","95","100","96","100","106"
"TEX","6122","106","115","95","99","100","90","107","98","95","101","101","107","98","91"
"ATL","6216","85","91","101","98","94","89","85","100","103","106","91","96","100","106"
"COL","6201","93","108","104","101","101","88","97","109","103","104","94","91","103","109"
"PHI","6133","90","110","96","94","94","87","90","99","100","103","95","96","100","107"
"PIT","6136","94","94","93","95","88","85","81","94","100","106","92","97","100","105"
"SFG","6137","85","93","95","93","87","83","75","96","94","106","96","94","107","101"
"SDP","5954","86","120","89","90","90","82","91","94","94","97","107","103","97","99"
