"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"CHW","99","63","54","574","162","1475.2","6.34","2.80","1.02",".275","75.4%","43.6%","10.5%","","3.61","","4.12","4.14","23.0"
"HOU","89","73","45","597","163","1443.0","7.26","2.74","0.97",".281","75.8%","46.4%","11.3%","","3.52","","3.84","3.75","22.6"
"LAA","95","67","54","541","162","1464.1","6.92","2.72","0.97",".288","75.0%","41.2%","9.2%","","3.68","","3.89","4.11","21.4"
"FLA","83","79","42","611","162","1442.1","7.02","3.51","0.72",".308","70.4%","45.2%","8.2%","","4.19","","3.81","4.13","21.2"
"CLE","93","69","51","571","162","1452.2","6.51","2.56","0.97",".275","73.6%","44.8%","10.2%","","3.61","","3.92","3.97","19.2"
"MIN","83","79","44","558","162","1464.1","5.93","2.14","1.04",".283","73.6%","45.1%","10.3%","","3.72","","4.00","4.04","19.0"
"OAK","88","74","38","572","162","1450.1","6.67","3.13","0.96",".271","73.4%","44.0%","10.2%","","3.70","","4.08","4.14","18.3"
"SDP","82","80","45","618","162","1455.1","7.01","3.11","0.90",".295","71.0%","43.0%","9.2%","","4.13","","3.90","4.10","17.4"
"NYM","83","79","38","554","162","1435.2","6.34","3.08","0.85",".283","73.7%","44.2%","8.8%","","3.77","","3.98","4.23","17.4"
"MIL","81","81","46","557","162","1438.0","7.34","3.56","1.06",".285","73.8%","41.4%","10.5%","","3.98","","4.20","4.22","16.5"
"PHI","88","74","40","604","162","1435.0","7.27","3.05","1.19",".283","72.4%","44.4%","13.3%","","4.21","","4.29","3.94","16.0"
"STL","100","62","48","598","162","1445.2","6.06","2.76","0.95",".282","75.1%","50.7%","11.6%","","3.49","","4.09","3.98","15.5"
"NYY","95","67","46","580","162","1430.2","6.20","2.91","1.03",".297","69.1%","47.0%","10.1%","","4.54","","4.28","4.36","15.2"
"CHC","79","83","39","619","162","1440.0","7.85","3.60","1.16",".284","73.7%","46.0%","13.5%","","4.19","","4.26","3.90","15.1"
"WSN","81","81","51","632","162","1458.0","6.15","3.33","0.86",".290","74.5%","40.2%","8.3%","","3.87","","4.16","4.51","14.5"
"ATL","90","72","38","646","162","1443.2","5.79","3.24","0.90",".294","74.3%","46.7%","10.3%","","3.98","","4.19","4.23","14.4"
"TOR","80","82","35","594","162","1447.0","5.96","2.76","1.15",".286","74.2%","45.7%","11.7%","","4.06","","4.42","4.26","14.0"
"BOS","95","67","38","604","162","1429.0","6.04","2.77","1.03",".303","68.9%","42.4%","9.6%","","4.74","","4.28","4.44","13.9"
"TEX","79","83","46","616","162","1440.0","5.83","3.26","0.99",".304","67.4%","46.0%","10.0%","","4.97","","4.37","4.46","13.7"
"BAL","74","88","38","636","162","1427.2","6.63","3.66","1.13",".292","70.2%","45.5%","11.9%","","4.56","","4.51","4.34","12.4"
"ARI","77","85","45","620","162","1456.1","6.41","3.32","1.19",".303","69.3%","45.4%","12.9%","","4.87","","4.55","4.25","11.9"
"SFG","75","87","46","673","162","1444.1","6.06","3.69","0.94",".289","71.6%","42.2%","9.0%","","4.35","","4.35","4.59","11.7"
"LAD","71","91","40","620","162","1427.1","6.33","2.97","1.15",".285","70.8%","45.9%","12.0%","","4.38","","4.40","4.20","11.3"
"COL","67","95","37","621","162","1418.2","6.22","3.83","1.11",".314","69.8%","44.2%","11.3%","","5.14","","4.70","4.59","10.2"
"DET","71","91","37","587","162","1435.2","5.69","2.89","1.21",".290","70.4%","45.7%","11.9%","","4.52","","4.57","4.38","9.7"
"SEA","69","93","39","595","162","1427.2","5.62","3.13","1.13",".287","72.0%","41.4%","9.9%","","4.49","","4.56","4.68","9.3"
"PIT","67","95","35","613","162","1436.0","6.00","3.84","1.02",".290","71.6%","43.9%","10.3%","","4.44","","4.57","4.60","7.2"
"CIN","73","89","31","654","163","1433.0","6.00","3.09","1.38",".309","69.7%","41.3%","12.3%","","5.18","","4.87","4.60","7.0"
"KCR","56","106","25","605","162","1413.1","5.88","3.69","1.13",".317","66.5%","44.4%","10.7%","","5.56","","4.74","4.72","6.1"
"TBD","67","95","43","563","162","1421.2","6.01","3.89","1.23",".302","66.4%","39.3%","10.6%","","5.40","","4.89","4.90","4.9"
