"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"LAD","2316","106","88","104","104","115","122","130","94","96","91","114","102","98","100"
"NYM","2279","93","95","111","107","109","121","107","109","100","108","90","96","102","103"
"ATL","2344","110","106","109","107","115","120","123","110","109","89","108","101","96","104"
"NYY","2210","125","91","102","107","108","116","117","96","102","103","96","104","90","107"
"SDP","2231","99","93","104","102","111","115","120","99","98","103","98","101","97","102"
"CHW","2267","87","106","107","102","109","113","112","108","98","107","94","89","105","112"
"SFG","2259","93","96","107","103","107","113","107","106","101","95","106","106","98","94"
"TBR","2261","119","113","98","103","103","110","109","103","100","102","98","107","96","93"
"PHI","2223","111","93","104","105","104","109","105","102","96","96","108","98","100","103"
"LAA","2308","114","89","102","104","104","109","106","98","96","100","103","103","96","99"
"BOS","2304","90","100","109","104","107","106","105","110","94","105","98","95","108","97"
"TOR","2263","99","94","105","102","106","105","108","102","105","100","97","99","98","104"
"BAL","2242","81","97","106","101","104","104","100","106","110","96","99","105","94","100"
"WSN","2218","93","88","107","103","103","104","97","105","109","101","93","91","105","108"
"OAK","2201","119","100","93","101","96","102","100","93","103","88","112","102","98","99"
"MIN","2168","95","103","100","99","103","101","108","97","103","92","108","100","97","104"
"HOU","2229","95","83","99","98","98","100","98","94","100","96","105","107","99","90"
"MIA","2167","95","107","99","98","91","96","80","104","93","111","91","98","97","107"
"STL","2011","110","103","95","99","88","93","78","99","101","99","100","99","103","96"
"CHC","2214","112","111","89","98","92","92","95","92","90","108","97","104","104","88"
"KCR","2200","86","101","100","97","97","91","92","102","105","101","96","101","106","90"
"CIN","2123","121","109","86","96","96","91","109","84","100","94","107","105","101","91"
"SEA","2181","105","105","93","97","89","91","84","96","95","102","101","92","109","101"
"MIL","2188","109","115","91","96","92","89","95","95","109","102","92","101","103","94"
"DET","2076","78","115","101","95","96","89","89","108","104","102","95","97","101","103"
"ARI","2238","87","89","98","96","93","88","86","96","101","101","98","108","97","90"
"CLE","2247","118","97","94","99","90","87","84","95","94","103","100","102","96","103"
"TEX","2147","86","107","89","89","88","76","86","91","92","104","99","96","106","98"
"COL","2257","77","104","104","96","96","76","85","108","104","96","102","93","99","112"
"PIT","2134","84","106","89","87","85","73","78","91","92","108","95","96","101","105"
