"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"LAA","6121","91","95","107","103","105","113","102","106","94","107","94","99","102","98"
"NYY","6231","113","98","103","105","110","113","121","100","102","102","96","103","100","94"
"STL","6326","102","98","104","103","102","106","98","104","100","106","92","94","103","106"
"TEX","6216","96","92","107","104","108","106","111","104","99","100","101","96","101","106"
"DET","6119","104","94","105","104","103","105","99","105","104","100","98","92","104","108"
"MIL","6224","91","104","99","100","106","102","116","99","89","99","108","97","104","99"
"SFG","6200","94","92","103","100","96","101","84","104","105","103","93","98","98","106"
"WSN","6221","93","111","100","99","103","101","109","102","93","102","102","97","103","100"
"TBR","6105","116","113","94","99","96","100","99","97","96","96","107","113","95","86"
"CHW","6111","94","103","100","99","102","98","107","99","103","96","103","100","97","104"
"OAK","6183","111","117","93","97","98","97","106","96","101","89","114","102","102","93"
"SDP","6112","107","105","95","98","92","97","87","98","96","107","93","95","105","100"
"CLE","6195","112","91","98","101","93","97","84","98","100","105","94","103","98","99"
"ARI","6150","106","107","99","100","101","97","104","101","102","94","107","102","98","100"
"BAL","6160","97","111","97","97","101","96","109","97","96","100","102","105","100","93"
"MIN","6209","101","90","102","101","95","95","83","102","101","110","87","93","106","102"
"BOS","6166","86","101","102","98","101","95","99","103","102","96","104","99","97","107"
"KCR","6149","82","87","103","99","97","94","87","103","105","104","92","95","102","104"
"NYM","6091","100","107","95","97","93","94","89","98","106","100","97","99","98","104"
"CIN","6115","95","108","96","97","99","93","104","97","101","95","106","100","96","106"
"PHI","6172","89","92","98","97","97","93","95","96","96","105","95","106","99","92"
"ATL","6126","112","110","95","98","94","92","93","97","100","101","99","100","98","103"
"TOR","6094","97","107","96","96","99","92","103","96","94","99","105","101","99","101"
"PIT","6014","89","117","93","93","95","91","100","96","93","100","104","101","97","103"
"LAD","6091","96","99","96","97","90","90","80","98","105","102","94","94","104","104"
"COL","6183","88","102","105","101","105","90","107","106","104","103","93","97","105","98"
"SEA","6057","96","108","91","92","90","87","87","94","102","97","103","99","97","106"
"MIA","6057","97","106","94","94","92","87","90","95","98","99","103","98","102","100"
"HOU","6014","93","118","90","92","90","82","89","95","98","101","100","102","98","99"
"CHC","5967","91","108","92","92","91","81","90","94","103","102","96","99","101","101"
