"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"CLE","5686","99","88","107","105","112","115","120","103","","","","","",""
"BOS","5716","102","105","104","104","106","107","111","104","","","","","",""
"CHW","5770","104","87","104","103","101","107","96","102","","","","","",""
"NYY","5699","114","97","102","104","98","106","92","103","","","","","",""
"CAL","5690","103","102","102","102","105","106","109","102","","","","","",""
"SEA","5671","101","100","102","102","105","106","110","101","","","","","",""
"CIN","5575","105","106","100","101","104","104","112","100","","","","","",""
"HOU","5857","109","105","102","104","95","104","82","106","","","","","",""
"OAK","5617","105","106","98","99","98","101","100","97","","","","","",""
"BAL","5531","108","95","97","99","100","99","106","94","","","","","",""
"LAD","5544","95","115","97","97","95","98","90","101","","","","","",""
"MIN","5588","88","107","103","101","98","97","89","107","","","","","",""
"CHC","5543","89","107","98","96","102","96","110","98","","","","","",""
"FLA","5569","104","102","97","99","96","95","96","97","","","","","",""
"SDP","5527","91","98","100","98","94","95","83","102","","","","","",""
"NYM","5581","90","111","99","97","95","94","89","102","","","","","",""
"SFG","5603","95","118","93","95","96","93","100","96","","","","","",""
"ATL","5464","107","106","92","96","97","92","106","91","","","","","",""
"MIL","5631","93","93","98","98","96","91","92","98","","","","","",""
"COL","5647","96","104","104","103","112","91","126","103","","","","","",""
"TEX","5566","98","103","98","98","96","91","92","99","","","","","",""
"TOR","5650","91","104","96","95","96","91","95","97","","","","","",""
"DET","5535","104","116","92","95","95","89","100","93","","","","","",""
"PHI","5613","100","98","97","98","91","88","81","99","","","","","",""
"KCR","5528","89","100","96","95","93","86","87","98","","","","","",""
"PIT","5501","93","110","96","95","94","86","91","99","","","","","",""
"MON","5452","83","103","96","94","94","85","90","97","","","","","",""
"STL","5349","92","107","91","92","89","83","84","94","","","","","",""
