"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"HOU","1455.0","123","84","145","77","129","89","87","84","96","107","76","78","79","97","104","97"
"BOS","1458.2","113","99","114","89","114","100","95","95","100","105","84","91","93","97","100","102"
"CLE","1457.1","112","79","142","101","115","81","97","92","101","105","86","90","86","99","100","100"
"LAD","1476.0","111","78","142","100","115","80","94","89","97","104","88","90","86","98","102","98"
"NYY","1456.1","119","96","124","90","120","97","95","94","102","102","88","84","85","104","101","96"
"TBR","1448.1","104","98","106","84","107","101","92","91","94","101","91","94","94","96","103","99"
"CHC","1476.1","95","115","83","87","95","115","98","101","97","104","91","103","105","101","102","96"
"ARI","1463.0","104","97","106","98","105","98","98","97","99","103","91","97","94","97","108","92"
"ATL","1456.2","103","118","86","86","103","119","93","99","95","101","92","99","102","104","98","100"
"MIL","1461.0","103","103","99","97","104","105","95","96","95","102","92","99","99","101","98","102"
"OAK","1465.2","90","91","98","93","92","94","94","92","91","101","93","102","100","99","103","97"
"COL","1452.1","102","98","104","104","102","99","102","101","103","97","94","95","97","99","103","97"
"LAA","1437.1","102","107","95","105","103","108","99","101","100","102","98","102","99","105","99","98"
"WSN","1446.0","103","92","112","113","104","92","99","96","98","102","99","101","102","95","94","112"
"STL","1455.1","96","111","87","81","95","109","100","103","100","100","99","100","104","104","102","95"
"SEA","1448.2","97","78","124","99","99","79","101","94","100","100","100","97","96","100","100","100"
"PIT","1434.0","98","94","104","100","97","93","102","101","102","101","101","100","102","101","99","101"
"SFG","1461.1","91","98","93","88","91","98","102","101","100","99","101","102","103","102","101","97"
"PHI","1445.2","106","94","112","97","106","94","101","100","104","97","103","91","95","93","103","100"
"MIN","1443.1","101","112","90","101","99","110","102","106","102","100","104","104","102","106","98","98"
"TEX","1431.0","83","97","84","115","81","95","108","107","101","96","106","109","108","105","101","95"
"DET","1425.1","90","97","92","112","90","97","103","102","99","97","106","106","107","103","93","106"
"NYM","1460.2","104","90","115","104","104","91","100","98","101","100","107","99","99","95","96","108"
"CIN","1441.0","92","100","91","129","89","98","108","108","103","98","113","112","105","103","101","97"
"SDP","1457.0","101","97","103","104","100","96","104","103","104","97","113","102","98","106","101","95"
"KCR","1432.0","86","108","79","106","83","105","110","111","105","97","113","112","109","101","102","97"
"TOR","1433.2","96","109","88","107","94","106","106","108","104","97","114","106","107","91","100","105"
"CHW","1437.0","93","128","72","101","90","124","101","109","99","96","115","110","115","96","96","107"
"BAL","1431.0","89","116","76","121","86","112","110","114","105","97","121","113","112","101","99","101"
"MIA","1442.0","91","114","79","110","89","112","103","107","99","96","125","116","115","99","93","109"
