"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"BOS","6382","112","104","108","109","110","114","113","110","107","96","101","99","100","101"
"DET","6388","102","85","111","108","107","114","101","107","108","100","95","98","101","102"
"LAA","6260","103","99","103","102","102","109","101","103","101","105","93","93","106","103"
"OAK","6209","113","96","99","102","103","108","110","97","98","86","118","102","101","96"
"TBR","6242","116","95","100","103","101","107","101","99","96","100","102","104","102","91"
"STL","6202","97","94","104","103","100","104","93","105","109","100","94","97","100","105"
"CLE","6165","112","106","99","102","101","104","104","101","100","100","100","108","95","94"
"LAD","6145","97","98","102","101","99","103","93","103","105","97","101","98","99","105"
"ATL","6133","111","119","97","100","100","102","107","100","98","96","106","106","98","93"
"BAL","6144","83","93","101","97","106","101","115","97","95","100","103","105","95","99"
"SFG","6168","95","92","101","99","95","100","85","101","100","102","98","97","103","101"
"PIT","6135","96","114","95","97","99","99","105","98","100","101","98","107","102","87"
"TOR","6152","102","93","98","99","101","99","106","95","96","102","100","102","95","104"
"TEX","6196","92","87","102","101","102","97","100","99","98","102","99","99","101","101"
"CIN","6293","116","104","97","101","98","96","99","98","98","102","99","96","100","106"
"SEA","6172","105","111","92","95","96","95","102","94","96","97","105","103","99","97"
"WSN","6047","96","104","97","97","99","94","102","97","98","101","100","97","101","104"
"SDP","6122","95","113","95","95","94","94","93","98","101","104","94","107","98","92"
"ARI","6334","103","95","100","100","98","93","93","100","98","105","95","94","101","108"
"MIL","6064","84","103","98","96","99","91","102","98","90","105","99","89","105","109"
"MIN","6212","105","117","94","97","94","91","93","100","102","100","99","95","102","104"
"CHC","6079","90","107","92","93","98","90","108","92","94","97","107","106","96","96"
"NYM","6207","103","118","92","95","91","90","90","97","94","98","107","94","99","111"
"KCR","6093","85","87","101","98","93","89","80","101","98","108","91","99","98","105"
"PHI","6014","87","106","96","95","96","89","95","98","99","101","100","104","101","93"
"COL","6152","87","103","105","100","104","87","104","106","106","101","95","93","104","105"
"NYY","6044","95","102","95","96","93","86","89","96","101","101","99","97","103","100"
"CHW","6077","83","101","97","94","93","85","87","98","103","97","102","98","99","104"
"HOU","6020","87","130","93","93","93","85","91","102","100","107","92","97","103","100"
"MIA","6021","90","108","89","91","83","74","73","93","99","107","91","95","101","107"
