"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"CHW","1475.2","103","93","111","95","106","95","94","92","94","106","81","91","96","104","99","99"
"HOU","1443.0","110","83","132","95","114","86","94","89","96","105","83","89","88","100","104","94"
"STL","1445.2","92","84","110","93","95","86","98","93","96","104","84","98","93","92","114","87"
"CLE","1452.2","106","85","124","91","109","88","93","90","95","104","84","93","92","104","102","96"
"MIN","1464.1","96","71","135","97","100","73","98","91","97","104","86","95","93","96","102","99"
"LAA","1464.1","112","90","124","91","115","92","96","93","99","106","86","92","95","99","94","109"
"OAK","1450.1","108","104","103","89","111","106","91","92","93","103","87","95","96","106","100","97"
"TOR","1447.0","97","91","105","107","98","92","100","97","98","105","91","100","98","99","104","96"
"NYM","1435.2","97","93","103","83","98","95","97","95","97","102","91","95","99","98","99","102"
"MIL","1438.0","112","108","103","104","112","108","96","99","98","102","93","97","99","99","93","110"
"WSN","1458.0","94","101","92","85","94","101","99","99","99","103","95","101","106","105","90","109"
"ATL","1443.2","88","98","90","89","89","99","102","101","101","103","95","99","99","105","105","90"
"CHC","1440.0","119","109","109","114","120","110","94","98","97","102","96","98","92","97","104","97"
"PHI","1435.0","111","93","119","116","112","94","96","95","97","100","97","98","92","105","100","97"
"FLA","1442.1","107","107","100","71","107","106","101","102","105","97","102","91","97","103","102","96"
"SFG","1444.1","92","112","82","92","92","111","100","103","99","99","103","105","108","98","95","108"
"BOS","1429.0","98","92","106","96","97","91","104","102","104","97","105","101","102","104","96","102"
"BAL","1427.2","108","121","89","106","106","119","99","105","100","99","105","101","100","102","103","95"
"NYY","1430.2","101","96","103","96","100","96","101","101","102","97","105","99","101","87","107","99"
"DET","1435.2","92","96","96","113","93","96","102","101","100","99","105","106","101","95","104","98"
"LAD","1427.1","96","90","107","112","97","91","100","97","97","98","105","103","99","92","103","100"
"PIT","1436.0","91","116","78","99","90","115","101","105","99","99","106","109","108","99","99","102"
"SDP","1455.1","107","94","113","88","107","95","99","98","101","98","106","96","96","100","97","104"
"SEA","1427.2","91","104","88","105","91","103","101","102","99","101","107","107","108","97","94","109"
"TEX","1440.0","95","108","87","93","92","105","105","108","105","95","109","99","103","102","105","93"
"ARI","1456.1","98","101","97","117","96","99","105","106","104","96","110","103","100","104","102","95"
"COL","1418.2","95","116","81","109","91","112","109","113","107","97","110","105","108","104","100","98"
"CIN","1433.0","91","94","97","135","88","91","110","109","106","96","121","111","108","99","93","110"
"KCR","1413.1","96","122","78","106","91","117","110","115","109","94","124","109","109","101","101","98"
"TBD","1421.2","98","129","76","115","93","124","105","113","104","94","126","113","113","106","89","110"
