"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"TOR","1454.0","110","101","109","83","113","104","92","92","95","105","83","91","","","",""
"KCR","1424.0","97","99","98","69","98","100","99","98","101","102","87","91","","","",""
"DET","1456.0","101","100","101","95","101","101","97","97","97","103","92","96","","","",""
"SFG","1471.0","105","98","107","95","107","100","98","97","99","104","95","97","","","",""
"MON","1450.1","104","81","128","95","105","82","98","94","99","98","95","92","","","",""
"LAD","1455.0","112","103","109","85","112","103","98","99","102","102","96","95","","","",""
"CHW","1447.2","82","96","86","100","83","97","98","97","94","103","96","106","","","",""
"HOU","1441.1","118","96","122","93","119","97","96","95","100","101","97","96","","","",""
"STL","1466.0","89","96","92","84","89","97","102","100","101","102","97","100","","","",""
"SEA","1430.2","97","90","107","107","97","90","102","99","101","99","98","96","","","",""
"NYY","1446.1","93","97","96","95","94","97","100","99","99","102","99","99","","","",""
"NYM","1454.0","106","93","113","88","107","93","97","96","99","100","99","95","","","",""
"PHI","1448.1","90","107","84","110","89","106","101","103","98","101","99","108","","","",""
"CIN","1452.1","94","88","107","112","95","89","102","99","100","99","100","100","","","",""
"CAL","1457.1","97","89","108","112","98","91","100","97","98","100","100","101","","","",""
"MIN","1427.1","104","102","101","113","104","102","101","101","100","101","101","104","","","",""
"TEX","1444.1","115","136","84","106","112","133","96","106","97","100","101","107","","","",""
"MIL","1464.0","107","93","114","89","106","93","103","101","105","98","102","93","","","",""
"PIT","1445.0","94","103","91","108","95","104","97","98","95","99","103","103","","","",""
"OAK","1445.2","108","95","114","93","109","95","98","97","100","98","104","97","","","",""
"CHC","1434.2","106","116","92","106","104","113","105","109","107","99","104","99","","","",""
"BOS","1436.0","108","93","115","101","107","92","106","104","109","99","105","98","","","",""
"SDP","1433.1","93","111","84","116","92","110","99","102","96","100","106","109","","","",""
"ATL","1427.2","87","109","80","109","85","106","106","108","103","97","107","106","","","",""
"BAL","1439.2","91","98","92","120","90","97","105","104","101","98","114","108","","","",""
"CLE","1422.2","90","110","81","118","86","106","105","108","101","94","117","114","","","",""
