"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"OAK","6275","127","94","99","105","100","113","102","98","","","","","",""
"DET","6310","121","119","99","103","106","108","120","100","","","","","",""
"TOR","6224","102","107","102","102","108","108","120","101","","","","","",""
"NYY","6262","97","103","101","100","105","107","115","99","","","","","",""
"BAL","6292","116","94","100","103","103","107","110","98","","","","","",""
"CHW","6267","112","89","101","102","99","104","97","99","","","","","",""
"MIN","6267","95","95","107","104","102","103","91","107","","","","","",""
"SEA","6180","87","97","102","98","105","102","111","100","","","","","",""
"TEX","6238","99","118","97","98","102","101","113","98","","","","","",""
"PIT","6269","107","96","98","100","100","100","103","98","","","","","",""
"STL","6230","94","111","101","100","98","99","92","104","","","","","",""
"CIN","6162","108","100","100","101","100","98","100","101","","","","","",""
"MIL","6183","93","90","103","101","97","98","85","104","","","","","",""
"PHI","6172","97","119","98","99","99","98","101","101","","","","","",""
"CLE","6201","81","102","103","98","99","98","93","103","","","","","",""
"ATL","6143","95","104","98","97","102","95","109","97","","","","","",""
"SDP","6074","88","99","98","96","101","95","108","97","","","","","",""
"MON","6120","89","110","97","96","97","94","96","99","","","","","",""
"HOU","6163","97","115","95","97","94","94","92","99","","","","","",""
"LAD","6038","98","103","96","97","89","90","74","98","","","","","",""
"SFG","6070","85","122","94","93","93","88","91","98","","","","","",""
"KCR","6084","81","87","99","96","95","88","86","99","","","","","",""
"CHC","6156","80","92","98","95","95","86","90","97","","","","","",""
"NYM","6061","111","109","91","95","90","86","88","93","","","","","",""
"BOS","6187","108","100","95","98","90","83","81","97","","","","","",""
"CAL","5917","79","106","94","92","88","77","75","96","","","","","",""
