"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"CAL","92","70","40","408","162","1456.0","5.90","2.95","0.95",".270","71.5%","","","","3.84","","3.87","","20.8"
"NYM","108","54","46","414","162","1484.0","6.57","3.09","0.62",".271","74.5%","","","","3.11","","3.31","","20.8"
"KCR","76","86","31","392","162","1440.1","5.55","2.99","0.76",".283","71.4%","","","","3.82","","3.71","","19.8"
"TOR","86","76","44","453","163","1476.0","6.11","2.97","1.00",".285","71.5%","","","","4.08","","3.94","","19.3"
"BOS","95","66","41","415","161","1429.2","6.50","2.98","1.05",".296","73.4%","","","","3.93","","3.89","","18.7"
"HOU","96","66","51","461","162","1456.1","7.17","3.23","0.72",".260","74.4%","","","","3.15","","3.34","","17.8"
"LAD","73","89","25","442","162","1454.1","6.50","3.09","0.71",".291","71.1%","","","","3.76","","3.44","","17.5"
"MIL","77","84","32","398","161","1431.2","5.98","3.11","0.99",".292","71.2%","","","","4.04","","3.97","","17.1"
"ATL","72","89","39","470","161","1424.2","5.89","3.64","0.74",".296","70.5%","","","","3.99","","3.80","","16.2"
"MON","78","83","50","487","161","1466.1","6.45","3.47","0.73",".277","70.7%","","","","3.79","","3.62","","15.7"
"CHW","72","90","38","459","162","1442.1","5.58","3.50","0.89",".272","71.6%","","","","3.94","","4.05","","15.5"
"CHC","70","90","42","506","160","1445.0","5.99","3.47","0.89",".307","69.8%","","","","4.51","","3.92","","15.3"
"SEA","67","95","27","443","162","1439.2","5.90","3.66","1.07",".309","70.0%","","","","4.67","","4.32","","15.3"
"CIN","86","76","45","475","162","1468.0","5.66","3.21","0.83",".286","71.0%","","","","3.92","","3.82","","15.2"
"BAL","73","89","39","424","162","1436.2","5.98","3.35","1.11",".285","70.9%","","","","4.31","","4.21","","14.5"
"SFG","83","79","35","508","162","1460.1","6.11","3.64","0.75",".262","73.8%","","","","3.36","","3.76","","13.5"
"NYY","90","72","58","451","162","1443.1","5.47","3.07","1.09",".279","71.5%","","","","4.11","","4.20","","13.0"
"TEX","87","75","41","490","162","1450.1","6.57","4.57","0.90",".280","72.0%","","","","4.11","","4.22","","12.7"
"PHI","86","75","39","482","161","1451.2","5.42","3.43","0.81",".288","71.5%","","","","3.87","","3.92","","11.1"
"DET","87","75","38","401","162","1443.2","5.49","3.56","1.14",".265","73.4%","","","","4.02","","4.45","","10.3"
"PIT","64","98","30","518","162","1450.2","5.73","3.54","0.86",".278","72.0%","","","","3.90","","3.99","","10.1"
"MIN","71","91","24","402","162","1432.2","5.89","3.16","1.26",".301","69.8%","","","","4.79","","4.43","","9.9"
"STL","79","82","46","448","161","1466.1","4.67","2.98","0.83",".264","74.9%","","","","3.38","","3.97","","8.8"
"OAK","76","86","37","448","162","1433.0","5.88","4.19","1.04",".265","70.7%","","","","4.31","","4.44","","8.1"
"SDP","74","88","32","512","162","1443.1","5.82","3.78","0.94",".279","72.0%","","","","4.00","","4.15","","7.6"
"CLE","84","78","34","453","163","1447.2","4.63","3.76","1.04",".284","69.3%","","","","4.63","","4.61","","7.2"
