"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6406","127","98","103","107","106","116","111","101","86","106","100","109","95","91"
"BOS","6403","130","103","105","108","107","112","111","105","111","94","101","100","102","98"
"CLE","6255","102","111","101","101","106","110","116","102","100","101","99","108","95","93"
"TEX","6301","100","112","100","100","110","106","128","98","102","90","111","102","104","93"
"CIN","6321","110","128","97","100","104","103","116","101","100","101","99","97","101","103"
"BAL","6134","93","93","100","99","102","101","105","98","99","97","104","105","96","97"
"TBD","6120","86","102","102","99","100","101","96","103","100","101","99","98","105","97"
"STL","6246","97","94","100","100","99","100","96","99","99","106","94","96","101","106"
"ATL","6186","98","109","99","98","102","100","107","100","98","103","98","96","100","106"
"OAK","6275","109","83","98","100","96","99","92","95","103","97","102","99","103","98"
"DET","6136","80","107","101","97","101","99","100","103","99","101","100","98","98","105"
"PHI","6345","115","106","100","103","99","98","97","102","110","97","98","97","108","96"
"FLA","6214","94","92","101","100","96","98","86","102","105","102","94","96","100","107"
"SDP","6271","109","97","96","98","91","98","84","97","103","97","102","100","101","98"
"LAA","6186","92","87","101","98","96","96","88","100","101","97","103","100","100","100"
"MIL","6156","98","117","97","98","99","95","103","100","104","98","100","93","106","105"
"CHW","6146","90","103","98","97","100","95","103","97","101","99","100","101","93","106"
"CHC","6161","77","93","100","96","103","95","107","97","98","102","99","103","89","107"
"TOR","6233","99","97","99","100","96","94","90","100","103","101","96","98","102","100"
"NYM","6146","90","109","96","95","97","93","99","97","95","103","100","99","97","105"
"ARI","6327","109","107","95","98","98","91","104","95","94","104","98","103","103","92"
"LAD","6134","100","111","94","96","92","91","89","97","99","101","100","101","97","102"
"SEA","6095","97","102","95","96","92","90","86","98","101","104","95","93","104","108"
"HOU","6139","89","105","95","95","95","90","95","96","90","100","106","101","101","98"
"MIN","6192","100","100","97","98","92","89","84","98","94","113","87","93","102","109"
"PIT","6221","86","109","97","95","94","89","88","100","96","105","96","99","103","98"
"WSN","6142","91","110","94","95","90","88","84","98","99","105","94","96","100","106"
"KCR","6086","89","105","98","97","93","87","85","101","98","101","100","94","103","106"
"SFG","6077","81","92","97","94","93","86","85","97","96","102","100","101","106","92"
"COL","6240","93","110","99","98","96","85","90","103","104","102","95","95","102","106"
