"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"CLE","102","60","37","659","162","1440.2","10.08","2.54","1.02",".303","77.5%","44.1%","13.0%","93.2","3.30","","3.33","3.41","30.4"
"NYY","91","71","36","639","162","1448.2","9.69","3.13","1.19",".280","74.5%","46.2%","14.2%","95.3","3.75","","3.88","3.82","23.4"
"BOS","93","69","39","677","162","1482.1","9.59","2.82","1.18",".303","75.7%","41.0%","12.7%","93.8","3.73","","3.78","3.91","23.2"
"WSN","97","65","46","649","162","1446.2","9.06","3.08","1.18",".287","74.4%","44.0%","12.8%","94.1","3.88","","3.99","4.12","23.0"
"ARI","93","69","43","675","162","1441.0","9.26","3.22","1.07",".294","74.2%","48.1%","13.1%","93.6","3.67","","3.80","3.86","22.9"
"LAD","104","58","51","698","162","1444.2","9.65","2.75","1.15",".281","77.8%","42.7%","13.4%","93.1","3.38","","3.67","3.70","21.7"
"HOU","101","61","45","681","162","1446.0","9.91","3.25","1.20",".300","73.7%","47.3%","14.9%","93.5","4.12","","3.91","3.77","19.0"
"COL","87","75","47","711","162","1437.2","7.95","3.33","1.19",".305","72.2%","48.5%","14.2%","94.5","4.51","","4.32","4.26","18.6"
"MIL","86","76","54","712","162","1445.2","8.38","3.44","1.15",".298","74.8%","45.7%","13.5%","93.5","4.00","","4.24","4.26","17.1"
"CHC","92","70","38","693","162","1447.1","8.95","3.44","1.21",".285","74.2%","46.2%","14.5%","92.7","3.95","","4.20","4.10","16.8"
"PIT","75","87","36","664","162","1440.2","7.88","3.19","1.14",".306","73.2%","45.2%","12.9%","94.8","4.23","","4.23","4.33","16.6"
"TOR","76","86","45","740","162","1465.0","8.43","3.37","1.25",".303","71.8%","45.4%","13.3%","92.5","4.42","","4.31","4.36","16.6"
"STL","83","79","43","708","162","1450.1","8.38","3.06","1.14",".298","73.6%","46.3%","13.5%","94.3","4.01","","4.09","4.12","15.7"
"TBR","80","82","53","673","162","1445.0","8.42","3.13","1.20",".283","73.0%","43.0%","12.8%","93.7","3.99","","4.17","4.29","15.0"
"PHI","66","96","33","668","162","1441.0","8.18","3.29","1.38",".304","73.0%","42.9%","14.1%","93.4","4.57","","4.56","4.50","14.3"
"KCR","80","82","39","700","162","1437.2","7.61","3.25","1.23",".303","70.9%","43.7%","12.0%","92.9","4.63","","4.43","4.68","13.7"
"DET","64","98","32","672","162","1420.1","7.62","3.41","1.38",".320","68.7%","39.4%","12.8%","93.4","5.36","","4.73","4.87","11.5"
"SFG","64","98","32","664","162","1452.0","7.65","3.07","1.13",".308","71.1%","42.5%","11.5%","92.7","4.50","","4.22","4.53","11.4"
"TEX","78","84","29","626","162","1434.1","6.95","3.51","1.34",".289","70.9%","44.2%","13.6%","93.3","4.70","","4.88","4.89","11.2"
"LAA","80","82","43","705","162","1440.2","8.20","2.94","1.40",".289","74.9%","41.6%","14.1%","92.9","4.20","","4.43","4.37","11.0"
"OAK","75","87","35","687","162","1431.0","7.56","3.16","1.32",".294","68.9%","44.9%","13.9%","92.8","4.67","","4.57","4.54","9.6"
"SEA","78","84","39","689","162","1440.1","7.77","3.06","1.48",".283","72.7%","40.3%","14.1%","93.2","4.46","","4.70","4.64","9.3"
"ATL","72","90","36","692","162","1441.1","7.86","3.65","1.20",".302","70.1%","44.5%","12.5%","93.9","4.72","","4.51","4.67","8.9"
"MIN","85","77","42","682","162","1436.0","7.31","3.03","1.40",".296","72.5%","42.4%","13.5%","92.4","4.60","","4.71","4.75","8.9"
"NYM","70","92","34","730","162","1434.2","8.62","3.72","1.38",".319","70.4%","44.4%","14.9%","93.6","5.01","","4.59","4.42","8.7"
"BAL","75","87","35","654","162","1441.0","7.70","3.62","1.51",".302","72.2%","44.6%","15.4%","93.3","4.97","","4.96","4.72","8.6"
"SDP","71","91","45","679","162","1430.2","8.34","3.49","1.42",".299","71.1%","47.5%","16.4%","93.2","4.70","","4.68","4.34","7.9"
"MIA","77","85","34","742","162","1442.2","7.50","3.91","1.20",".298","70.7%","42.5%","12.2%","92.8","4.82","","4.69","4.90","5.5"
"CIN","68","94","33","666","162","1430.0","8.18","3.97","1.56",".296","71.1%","44.6%","16.8%","93.5","5.17","","5.08","4.66","5.3"
"CHW","67","95","25","682","162","1421.2","7.55","4.00","1.53",".281","72.4%","41.9%","14.7%","93.2","4.78","","5.17","5.01","4.4"
