"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"ATL","1460.0","100","98","101","85","101","99","97","96","98","102","87","93","","","",""
"BOS","1448.2","109","97","111","85","109","98","98","98","101","100","88","92","","","",""
"MIL","1457.0","91","79","115","100","94","81","95","90","93","103","88","98","","","",""
"MIN","1453.0","106","87","121","95","108","89","98","94","99","101","92","93","","","",""
"MON","1467.2","107","105","102","87","107","105","95","96","97","102","94","98","","","",""
"KCR","1447.1","96","93","103","84","96","94","100","98","100","100","94","97","","","",""
"CHC","1469.0","95","115","83","101","94","114","97","101","96","101","94","104","","","",""
"BAL","1464.0","96","93","103","97","97","94","99","97","98","102","96","97","","","",""
"CAL","1446.0","102","97","105","103","103","97","102","101","102","102","96","97","","","",""
"PIT","1479.2","88","90","98","95","89","91","101","98","99","102","97","102","","","",""
"CIN","1449.2","113","95","118","104","114","96","100","98","103","101","97","91","","","",""
"TOR","1440.2","110","99","111","99","111","100","96","96","97","99","98","94","","","",""
"STL","1480.0","88","79","111","111","89","80","100","95","97","101","98","102","","","",""
"CHW","1461.2","92","99","93","96","92","99","98","98","96","100","100","102","","","",""
"SDP","1461.1","103","88","117","105","103","88","104","100","104","100","101","94","","","",""
"OAK","1447.0","97","110","88","102","97","109","99","101","98","103","101","106","","","",""
"LAD","1438.0","105","113","93","79","103","110","102","106","104","99","101","98","","","",""
"CLE","1470.0","101","102","99","124","100","101","103","103","102","101","105","107","","","",""
"TEX","1460.1","118","108","109","89","116","107","102","104","106","97","105","95","","","",""
"NYM","1446.2","109","98","111","94","109","97","102","101","104","98","105","95","","","",""
"SFG","1461.0","98","101","97","121","98","101","101","100","99","101","107","107","","","",""
"NYY","1452.2","98","111","88","102","97","110","102","104","101","98","109","103","","","",""
"HOU","1459.1","103","108","95","108","102","107","100","103","100","99","111","109","","","",""
"SEA","1445.0","103","121","85","102","100","117","102","108","103","97","115","107","","","",""
"DET","1435.2","80","104","78","124","79","102","106","107","102","97","115","110","","","",""
"PHI","1428.0","92","113","82","110","90","111","102","105","100","95","118","110","","","",""
