"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"DET","6444","113","92","103","105","106","113","112","99","","","","","",""
"NYM","6335","101","110","99","100","103","108","111","100","","","","","",""
"OAK","6238","106","110","98","100","101","105","105","99","","","","","",""
"BOS","6359","107","84","105","105","101","105","94","103","","","","","",""
"TOR","6295","99","100","101","101","105","105","110","100","","","","","",""
"MIL","6370","105","106","104","104","100","103","94","108","","","","","",""
"SFG","6250","89","121","97","96","103","101","113","98","","","","","",""
"NYY","6222","109","99","99","101","98","100","97","98","","","","","",""
"TEX","6248","102","113","100","100","101","99","103","103","","","","","",""
"SEA","6145","91","91","103","100","101","99","97","102","","","","","",""
"BAL","6185","95","99","97","97","98","96","100","95","","","","","",""
"MIN","6090","96","96","99","98","101","95","105","97","","","","","",""
"CIN","6196","90","103","99","97","102","95","107","98","","","","","",""
"CLE","6212","88","102","99","97","99","95","99","100","","","","","",""
"KCR","6128","95","110","99","98","97","95","93","102","","","","","",""
"CAL","6301","105","96","95","98","94","95","92","95","","","","","",""
"CHW","6164","88","102","97","96","98","92","98","98","","","","","",""
"PIT","6225","93","101","98","97","96","92","92","100","","","","","",""
"STL","6299","111","102","98","100","90","92","77","102","","","","","",""
"CHC","6197","88","118","98","96","103","92","112","99","","","","","",""
"PHI","6190","103","123","94","96","98","91","104","98","","","","","",""
"MON","6162","88","103","99","97","96","91","90","101","","","","","",""
"ATL","6227","112","92","96","100","96","90","97","95","","","","","",""
"SDP","6177","101","111","97","98","90","89","79","101","","","","","",""
"HOU","6149","93","105","94","94","89","85","80","96","","","","","",""
"LAD","6114","79","104","94","91","88","83","79","95","","","","","",""
