"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"CLE","1440.2","121","79","152","78","128","83","93","87","103","107","72","75","77","111","102","92"
"ARI","1441.0","110","95","115","87","112","97","94","94","98","102","80","87","89","93","107","95"
"LAD","1444.2","115","82","140","93","120","85","89","85","94","107","82","86","86","104","95","104"
"BOS","1482.1","116","88","131","90","118","90","96","94","102","104","82","87","89","106","95","103"
"NYY","1448.2","117","97","120","91","119","99","90","91","95","103","86","86","87","95","107","95"
"WSN","1446.2","108","91","118","95","111","93","94","92","96","102","88","91","95","92","98","108"
"COL","1437.2","95","99","95","97","95","99","103","102","102","99","91","94","98","99","108","91"
"MIL","1445.2","100","102","97","93","101","103","99","99","100","103","91","97","99","102","102","97"
"CHC","1447.1","107","102","104","98","109","104","94","94","95","102","91","97","95","99","103","97"
"TBR","1445.0","101","98","104","92","103","99","95","95","96","100","94","98","98","101","99","100"
"STL","1450.1","100","91","110","92","101","92","99","96","100","101","96","97","95","103","103","94"
"HOU","1446.0","119","101","118","91","121","102","95","95","102","101","97","90","86","96","109","91"
"LAA","1440.2","99","91","107","107","101","93","99","96","98","103","98","101","100","99","96","105"
"TEX","1434.1","84","109","76","103","83","108","103","105","98","98","98","107","111","100","102","97"
"PIT","1440.2","94","95","99","92","94","94","103","101","102","101","99","98","100","107","100","95"
"TOR","1465.0","102","105","97","95","101","104","101","103","103","99","101","97","99","95","105","97"
"KCR","1437.2","92","101","91","94","91","100","104","104","103","98","104","103","107","94","101","102"
"MIN","1436.0","88","94","93","107","87","93","105","103","100","100","104","107","108","99","98","103"
"PHI","1441.0","97","98","100","112","97","97","103","103","102","100","105","103","104","100","95","106"
"SEA","1440.1","94","95","97","113","94","96","99","98","96","100","106","109","106","101","93","108"
"ATL","1441.1","94","108","86","97","92","106","103","105","101","96","107","105","108","97","99","103"
"SFG","1452.0","91","91","100","92","90","90","105","102","103","98","108","103","105","105","94","104"
"OAK","1431.0","91","98","93","101","90","97","102","102","100","95","111","107","103","100","104","95"
"SDP","1430.2","99","103","96","115","99","103","102","102","100","98","112","109","100","94","106","96"
"CHW","1421.2","91","125","73","117","89","122","100","106","95","100","112","116","114","97","97","106"
"BAL","1441.0","93","113","82","116","91","110","106","109","102","99","112","108","107","96","103","99"
"CIN","1430.0","98","118","83","127","95","115","103","107","99","98","116","115","108","99","99","102"
"MIA","1442.2","89","116","77","98","88","114","103","107","100","97","116","112","113","102","94","106"
"DET","1420.1","92","106","86","106","88","102","111","112","108","95","121","106","111","110","91","105"
"NYM","1434.2","103","110","93","112","99","106","107","110","107","97","123","108","102","103","99","100"
