"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"NYM","100","60","46","401","160","1439.0","6.88","2.53","0.49",".276","73.3%","","","","2.91","","2.86","","25.6"
"LAD","94","67","49","457","162","1463.1","6.33","2.91","0.52",".272","74.4%","","","","2.96","","3.12","","19.7"
"KCR","84","77","32","414","161","1428.1","5.58","2.93","0.64",".288","71.5%","","","","3.65","","3.50","","19.3"
"CLE","78","84","46","392","162","1434.0","5.10","2.77","0.75",".292","68.9%","","","","4.19","","3.73","","18.9"
"BOS","89","73","37","412","162","1426.1","6.85","3.11","0.90",".294","72.0%","","","","3.98","","3.67","","18.7"
"MIL","87","75","51","414","162","1449.2","5.17","2.71","0.78",".267","73.0%","","","","3.45","","3.69","","17.9"
"OAK","104","58","64","452","162","1489.2","5.94","3.34","0.70",".275","74.5%","","","","3.44","","3.63","","17.6"
"SEA","68","93","28","453","161","1428.1","6.18","3.52","0.91",".284","69.5%","","","","4.19","","3.95","","17.1"
"SFG","83","79","42","452","162","1462.1","5.39","2.60","0.61",".265","70.2%","","","","3.40","","3.38","","16.3"
"SDP","83","78","39","399","161","1449.0","5.50","2.73","0.70",".270","73.9%","","","","3.28","","3.50","","16.0"
"MIN","91","71","52","427","162","1431.2","5.64","2.85","0.92",".290","73.2%","","","","3.94","","3.88","","15.7"
"STL","76","86","42","495","162","1470.2","5.39","2.97","0.56",".277","71.3%","","","","3.47","","3.40","","15.4"
"CHC","77","85","29","453","163","1465.0","5.51","3.01","0.71",".291","71.3%","","","","3.88","","3.63","","14.4"
"DET","88","74","36","382","162","1445.2","5.54","3.09","0.93",".267","73.3%","","","","3.72","","3.98","","14.4"
"CIN","87","74","43","504","161","1455.0","5.78","3.12","0.75",".260","73.9%","","","","3.35","","3.66","","13.8"
"CAL","75","87","33","424","162","1456.0","5.05","3.51","0.83",".289","69.8%","","","","4.31","","4.11","","13.1"
"PIT","85","75","46","473","160","1440.2","4.94","2.93","0.67",".268","72.6%","","","","3.47","","3.69","","11.7"
"MON","81","81","43","470","163","1482.2","5.60","2.89","0.74",".260","74.5%","","","","3.10","","3.63","","11.7"
"HOU","82","80","40","446","162","1474.2","6.40","2.92","0.75",".270","72.7%","","","","3.41","","3.48","","11.2"
"ATL","54","106","25","478","160","1446.0","5.04","3.26","0.67",".288","68.9%","","","","4.10","","3.80","","11.0"
"TEX","70","91","31","412","161","1438.2","5.71","4.09","0.81",".267","69.9%","","","","4.07","","4.15","","10.9"
"NYY","85","76","43","465","161","1456.0","5.32","3.01","0.97",".286","71.1%","","","","4.27","","4.09","","10.9"
"TOR","87","75","47","456","162","1449.0","5.61","3.28","0.89",".278","73.2%","","","","3.80","","4.02","","10.8"
"CHW","71","90","43","454","161","1440.0","4.71","3.33","0.86",".280","69.4%","","","","4.13","","4.15","","7.9"
"BAL","54","107","26","448","161","1416.0","4.51","3.32","0.97",".287","69.1%","","","","4.55","","4.37","","6.3"
"PHI","65","96","36","498","162","1433.0","5.39","3.94","0.74",".287","70.8%","","","","4.16","","4.03","","5.0"
