"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"BOS","6455","118","82","106","108","105","109","102","104","","","","","",""
"OAK","6110","109","98","100","102","99","107","98","99","","","","","",""
"SFG","6139","94","122","98","98","103","105","113","102","","","","","",""
"NYY","6096","98","96","103","102","102","104","99","102","","","","","",""
"MIN","6207","91","84","106","103","105","104","102","103","","","","","",""
"TOR","6216","99","104","100","99","104","102","112","99","","","","","",""
"TEX","6099","98","114","101","100","103","102","107","104","","","","","",""
"NYM","6131","94","106","97","97","102","101","112","96","","","","","",""
"BAL","6173","114","109","97","100","99","101","103","98","","","","","",""
"CHW","6132","90","100","104","101","100","100","91","106","","","","","",""
"KCR","6151","107","102","100","101","97","98","91","102","","","","","",""
"CAL","6102","83","116","98","95","101","97","105","100","","","","","",""
"SDP","6120","103","116","99","99","97","97","95","102","","","","","",""
"MIL","6085","89","91","99","98","100","97","101","97","","","","","",""
"SEA","6134","94","96","99","98","100","96","103","97","","","","","",""
"STL","6141","94","96","102","100","96","96","84","104","","","","","",""
"CHC","6141","87","105","103","99","102","95","102","104","","","","","",""
"MON","6207","105","108","97","99","96","95","92","100","","","","","",""
"PHI","6128","104","105","96","98","96","92","97","96","","","","","",""
"PIT","6261","102","102","95","97","95","92","95","96","","","","","",""
"DET","6133","113","103","93","98","92","92","89","93","","","","","",""
"HOU","6200","97","97","94","95","91","90","85","94","","","","","",""
"CIN","6158","91","116","97","96","98","90","99","100","","","","","",""
"CLE","6111","97","107","94","95","95","89","97","95","","","","","",""
"LAD","6124","94","101","95","95","90","87","80","96","","","","","",""
"ATL","6079","91","114","92","93","92","78","93","94","","","","","",""
