"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"WSN","1470.2","101","75","135","80","104","77","98","91","100","102","82","87","93","99","97","105"
"SEA","1452.0","106","99","107","96","109","102","91","91","93","106","86","97","94","99","104","96"
"OAK","1463.1","100","86","114","102","103","89","93","89","92","104","88","99","95","94","104","98"
"BAL","1461.1","94","100","94","105","95","102","97","97","95","106","88","101","103","99","100","100"
"KCR","1450.2","94","94","99","89","95","95","99","98","99","102","89","99","102","101","99","101"
"CLE","1468.1","116","98","118","93","116","98","99","99","104","101","92","90","89","100","107","91"
"ATL","1455.0","103","101","102","89","104","102","100","100","102","102","93","97","98","106","93","106"
"SDP","1438.2","103","100","103","87","104","101","96","97","98","102","94","96","97","104","98","100"
"TBR","1463.2","115","102","113","100","116","103","93","94","97","102","96","97","96","97","93","110"
"CIN","1446.0","103","109","94","121","104","110","95","98","94","104","97","105","101","99","98","104"
"MIL","1457.2","99","92","107","123","99","93","100","98","98","101","97","101","99","95","99","104"
"STL","1448.2","98","101","96","91","98","101","97","98","97","102","97","100","102","98","99","103"
"NYY","1453.0","111","85","130","114","111","85","99","96","101","101","97","93","91","106","100","97"
"LAD","1464.2","108","91","119","104","110","93","97","95","99","101","98","96","90","98","104","96"
"LAA","1482.2","106","105","100","86","108","107","94","95","96","101","98","97","100","100","95","106"
"PIT","1456.1","98","107","91","94","98","107","98","100","98","101","99","106","100","95","110","90"
"BOS","1465.2","97","102","95","106","97","102","103","103","102","99","100","105","102","102","100","99"
"NYM","1463.2","103","108","95","103","103","108","99","101","100","103","100","101","100","97","100","102"
"SFG","1449.0","97","84","115","98","99","86","97","92","96","99","101","102","97","99","100","101"
"TOR","1443.0","97","105","92","106","97","105","100","102","99","100","103","103","105","96","98","104"
"DET","1454.0","100","99","101","89","100","98","104","104","106","97","104","94","99","100","101","98"
"PHI","1468.1","99","111","89","98","98","109","100","103","100","99","105","101","104","98","101","100"
"MIA","1457.2","94","98","95","84","93","97","106","105","105","98","105","99","102","99","102","98"
"CHC","1463.1","104","107","96","84","103","106","101","103","103","95","108","95","100","106","96","102"
"ARI","1444.1","102","101","101","114","101","100","106","106","106","96","111","103","98","102","100","98"
"HOU","1438.2","93","105","89","98","92","103","103","104","101","97","111","104","103","100","106","93"
"CHW","1441.0","94","119","78","98","91","117","105","109","103","97","112","105","109","97","106","95"
"TEX","1426.1","91","110","83","114","89","107","108","110","105","97","113","110","112","106","91","108"
"COL","1431.0","87","116","75","130","84","111","110","114","104","95","113","111","109","104","104","92"
"MIN","1435.0","84","88","95","104","82","86","111","108","106","95","118","104","109","103","96","103"
