"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"ATL","101","59","3.13","630","161","3","2","57","79","14","1467.1","6131","1302","565","511","123","554","63","42","40","4","1058"
"SFG","95","66","3.55","579","162","10","5","43","70","17","1437.1","6056","1349","616","567","116","523","44","36","36","2","992"
"ANA","99","63","3.69","562","162","7","2","54","66","17","1452.1","6097","1345","644","595","169","509","24","49","52","7","999"
"OAK","103","59","3.69","570","162","9","5","48","86","21","1452.0","6158","1391","654","595","135","474","45","62","40","9","1021"
"LAD","92","70","3.69","585","162","4","2","56","78","15","1457.2","6139","1311","643","598","165","555","45","46","33","3","1132"
"STL","97","65","3.70","634","162","4","2","42","82","21","1446.1","6135","1355","648","595","141","547","39","60","40","2","1009"
"BOS","93","69","3.75","500","162","5","3","51","40","17","1446.0","6049","1339","665","603","146","430","29","84","31","6","1157"
"NYY","103","58","3.89","495","161","9","5","53","46","16","1452.0","6159","1441","697","627","144","403","44","48","59","2","1135"
"NYM","75","86","3.91","612","161","9","6","36","62","15","1442.2","6212","1408","703","626","163","543","75","55","22","7","1107"
"ARI","98","64","3.93","584","162","14","5","40","58","19","1446.2","6067","1361","674","631","170","421","30","54","48","11","1303"
"MON","83","79","3.98","599","162","9","1","39","78","20","1453.0","6246","1475","718","642","165","508","80","46","51","5","1088"
"HOU","84","78","4.00","642","162","2","2","43","70","15","1445.0","6205","1423","695","643","151","546","78","55","38","3","1219"
"SEA","93","69","4.07","505","162","8","3","43","57","21","1445.1","6117","1422","699","654","178","441","34","49","42","3","1063"
"MIN","94","67","4.12","596","161","8","5","47","83","18","1444.2","6133","1454","712","662","184","439","24","45","62","3","1026"
"PHI","80","81","4.17","611","161","5","3","47","78","24","1449.2","6222","1381","724","671","153","570","54","70","68","5","1075"
"PIT","72","89","4.24","619","161","2","1","47","96","19","1412.2","6131","1447","730","665","163","572","93","55","34","5","920"
"CIN","78","84","4.29","624","162","2","1","42","67","15","1453.2","6296","1502","774","693","173","550","63","56","52","2","980"
"CHC","67","95","4.30","552","162","11","3","23","32","25","1441.1","6236","1373","759","689","167","606","53","58","44","2","1333"
"FLA","79","83","4.36","623","162","11","6","36","68","19","1456.1","6340","1449","763","706","151","631","46","58","55","7","1104"
"BAL","67","95","4.46","569","162","8","1","31","58","15","1450.2","6258","1491","773","719","208","549","34","54","54","1","967"
"CHW","81","81","4.57","585","162","7","4","35","60","11","1423.0","6131","1422","798","723","190","528","31","60","54","6","945"
"SDP","66","96","4.66","622","162","5","2","40","60","23","1436.1","6333","1522","815","743","177","582","61","66","51","4","1108"
"MIL","56","106","4.76","608","162","7","3","32","52","10","1432.1","6339","1468","821","757","199","666","82","62","64","8","1026"
"TOR","78","84","4.81","623","162","6","2","41","69","29","1438.1","6338","1504","828","768","177","590","56","71","57","4","991"
"CLE","74","88","4.91","583","162","9","2","34","51","19","1424.2","6271","1508","837","777","142","603","38","57","52","8","1058"
"DET","55","106","4.94","533","161","11","4","33","32","21","1414.0","6215","1593","864","776","163","463","34","62","59","8","794"
"TEX","72","90","5.16","649","162","4","2","33","65","33","1439.2","6446","1528","882","826","194","669","32","76","84","11","1030"
"KCR","62","100","5.21","583","162","12","4","30","40","24","1441.0","6386","1587","891","834","212","572","48","52","68","6","909"
"COL","73","89","5.21","668","162","1","0","43","78","16","1426.2","6345","1554","898","826","225","582","49","64","42","6","920"
"TBD","55","106","5.29","467","161","12","1","25","24","21","1440.1","6424","1567","918","847","215","620","24","94","62","10","925"
