"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"OAK","6255","106","101","101","102","105","112","112","100","101","94","107","98","102","100"
"NYY","6271","120","104","100","103","108","112","121","97","95","98","105","102","100","97"
"LAD","6358","113","105","99","102","106","111","117","98","98","93","110","104","98","97"
"BOS","6302","109","91","107","106","109","111","111","105","96","103","99","99","99","103"
"HOU","6146","111","89","102","103","102","110","102","98","96","98","104","105","101","90"
"TBR","6195","105","103","103","105","98","107","89","108","104","108","89","91","101","113"
"CLE","6300","106","87","104","104","104","106","105","99","105","95","103","99","104","96"
"WSN","6288","112","95","100","102","100","101","101","99","95","102","100","96","101","104"
"TOR","6076","99","105","98","98","103","101","110","97","100","97","104","104","96","100"
"CHC","6369","101","101","102","102","98","100","93","104","98","106","93","101","98","101"
"MIL","6210","96","109","99","99","102","100","105","101","99","106","93","97","104","99"
"SEA","6087","85","92","102","99","98","100","92","100","99","106","93","99","102","99"
"STL","6200","94","103","98","98","98","99","98","98","102","99","100","104","95","101"
"LAA","6108","101","98","97","98","99","98","103","94","102","98","102","109","98","87"
"ATL","6251","91","96","101","99","100","97","98","101","105","99","98","102","97","101"
"MIN","6154","105","99","100","100","97","96","93","101","102","95","105","98","101","102"
"PIT","6066","87","94","100","97","98","95","94","99","98","102","99","95","101","107"
"CIN","6240","100","102","100","100","96","94","90","102","113","95","99","98","99","105"
"NYM","6177","102","105","92","96","93","94","94","94","93","96","109","104","98","97"
"CHW","6071","84","120","97","95","96","92","96","103","97","106","95","98","99","104"
"PHI","6136","106","115","92","96","94","91","97","96","91","99","107","101","101","97"
"TEX","6163","108","110","96","100","97","89","99","99","99","104","96","99","100","103"
"ARI","6157","101","110","93","95","95","88","99","95","103","101","97","99","101","100"
"COL","6178","91","105","101","99","104","88","110","101","96","106","95","92","106","104"
"KCR","6063","85","99","98","96","94","87","88","100","107","97","99","98","99","104"
"BAL","6034","84","107","96","94","94","87","91","97","91","104","100","99","101","101"
"SDP","6059","87","117","93","91","91","84","89","98","98","108","91","97","103","100"
"MIA","6083","83","105","94","93","85","83","73","98","98","110","88","95","106","100"
"DET","6029","86","102","97","94","91","83","83","100","106","100","97","100","97","104"
"SFG","6113","82","111","94","92","88","82","79","100","101","103","95","95","100","107"
