"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"SDP","539.1","113","91","122","94","116","94","89","88","94","110","73","90","89","100","99","101"
"CHW","494.1","112","90","124","94","114","91","93","91","97","106","81","87","90","102","97","103"
"NYM","434.1","107","84","123","64","111","88","94","89","101","100","81","78","85","106","105","91"
"NYY","525.1","107","84","128","91","112","88","90","86","92","102","81","86","92","85","101","107"
"TBR","545.2","100","81","121","92","105","85","92","87","93","104","85","94","92","101","100","99"
"SFG","515.0","96","78","120","91","99","81","95","89","94","105","85","95","93","89","108","97"
"LAD","520.0","111","82","134","99","115","86","90","86","92","101","86","89","88","86","101","106"
"BOS","507.1","106","104","101","63","105","104","103","103","110","100","89","85","95","109","104","90"
"CLE","488.2","107","115","92","104","108","116","93","98","95","104","92","101","96","95","105","96"
"MIL","518.0","113","99","111","105","115","101","91","92","95","103","92","96","89","99","102","98"
"TOR","485.1","102","99","101","114","102","99","101","100","100","103","94","110","100","92","103","101"
"CHC","513.1","100","109","92","104","98","107","102","104","102","107","95","108","102","99","106","93"
"MIA","501.1","95","87","102","73","97","89","98","94","100","99","95","91","99","100","100","100"
"HOU","520.2","98","101","97","105","100","103","93","94","91","103","96","106","104","99","95","107"
"OAK","531.2","92","82","111","84","91","82","105","100","103","100","100","95","105","107","90","108"
"WSN","473.1","98","101","96","118","99","103","99","99","96","102","102","106","103","102","92","109"
"KCR","486.2","101","122","83","86","99","119","102","108","104","98","104","101","106","100","99","101"
"DET","501.0","95","112","84","107","93","109","101","105","98","99","104","108","107","96","104","97"
"COL","501.1","85","113","75","107","83","110","110","113","104","95","105","108","110","108","103","91"
"PHI","498.0","102","91","112","112","102","90","105","102","105","102","105","98","96","97","103","98"
"STL","517.0","89","133","67","68","86","129","98","108","98","98","108","107","119","104","98","100"
"TEX","528.2","91","93","98","100","90","91","109","106","106","99","109","104","101","101","106","92"
"ATL","493.1","103","105","97","113","100","103","105","107","105","97","111","107","100","106","97","100"
"SEA","520.2","90","101","89","96","90","100","101","101","98","95","114","106","107","101","101","99"
"MIN","503.1","92","97","94","123","91","96","106","104","100","93","116","113","107","102","97","102"
"BAL","500.0","99","101","98","128","97","98","107","108","104","99","117","108","105","107","92","106"
"PIT","494.0","95","104","92","112","94","102","106","106","103","96","120","108","106","101","97","103"
"CIN","498.0","105","125","84","111","103","121","102","110","103","94","120","105","104","100","97","103"
"LAA","505.2","109","122","89","117","106","118","103","110","105","96","120","107","97","101","105","93"
"ARI","522.2","88","95","92","126","85","92","113","111","106","94","124","116","111","102","93","107"
