"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"PHI","1477.0","109","79","137","81","112","82","95","89","98","106","79","83","88","96","103","98"
"TEX","1441.1","106","93","113","108","108","95","95","94","96","101","88","95","95","102","97","102"
"NYY","1458.1","109","101","107","95","109","101","100","100","102","104","89","92","95","106","101","96"
"SFG","1468.0","111","110","101","65","113","112","92","95","97","102","89","90","95","100","103","96"
"LAA","1465.0","94","95","99","88","95","97","98","96","97","104","91","98","99","97","103","98"
"TBR","1449.0","102","102","101","101","105","104","91","92","91","105","92","102","99","98","96","106"
"ATL","1479.2","111","101","109","84","112","103","95","96","99","103","92","93","92","102","106","92"
"OAK","1447.2","104","105","99","86","104","105","97","99","99","100","94","96","98","98","101","101"
"MIL","1441.2","108","88","122","102","109","89","97","95","99","100","94","90","93","98","99","102"
"WSN","1449.1","89","95","94","89","90","95","101","99","99","101","94","100","105","100","99","101"
"ARI","1443.1","90","88","103","110","91","89","102","98","98","101","95","104","105","102","93","108"
"CHW","1460.0","108","88","123","92","109","88","101","98","104","99","97","86","91","104","101","97"
"DET","1440.0","100","100","100","94","101","100","100","100","101","99","97","97","99","98","101","99"
"SDP","1449.1","97","104","94","86","99","105","97","97","97","102","97","100","102","102","98","102"
"LAD","1432.0","109","102","107","92","111","104","95","96","98","101","98","95","97","103","95","104"
"BOS","1457.1","108","108","99","98","107","108","96","99","98","99","99","102","102","93","97","108"
"COL","1447.2","95","104","92","121","94","103","105","105","102","96","101","104","103","99","103","97"
"FLA","1459.2","103","99","104","102","103","99","100","100","100","98","102","100","99","99","99","102"
"STL","1462.0","93","88","105","93","93","88","103","100","102","98","102","100","98","100","106","92"
"SEA","1433.0","98","89","111","92","100","90","98","95","98","100","102","98","97","102","100","99"
"TOR","1458.2","104","108","96","112","103","107","100","102","100","100","104","104","100","101","101","98"
"KCR","1451.1","96","112","86","102","95","110","104","106","103","100","107","106","105","99","100","100"
"CIN","1467.2","94","106","88","126","93","105","101","102","97","101","107","111","107","96","100","103"
"CLE","1453.1","91","93","97","96","91","92","103","101","101","97","108","102","101","101","104","95"
"PIT","1449.1","88","106","83","105","86","104","106","108","103","101","109","112","109","103","101","96"
"CHC","1434.1","105","116","90","113","103","113","103","108","103","98","110","106","104","102","96","105"
"MIN","1421.2","86","99","87","103","84","96","109","109","105","96","112","108","107","101","100","99"
"NYM","1448.0","96","102","93","101","94","100","104","105","103","97","113","106","105","94","103","100"
"BAL","1446.2","94","108","87","132","91","105","108","110","104","97","117","111","106","100","98","102"
"HOU","1435.0","102","112","91","131","100","109","105","108","104","97","119","112","104","105","96","102"
