"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"STL","105","57","3.75","631","162","4","2","57","89","16","1453.2","6104","1378","659","605","169","440","24","67","42","4","1041"
"ATL","96","66","3.75","645","162","4","1","48","71","20","1450.0","6218","1475","668","604","154","523","50","27","36","6","1025"
"CHC","89","73","3.83","622","162","3","2","42","68","24","1465.1","6262","1363","665","623","169","545","33","76","50","9","1346"
"LAD","93","69","4.01","621","162","2","2","51","57","9","1453.1","6155","1386","684","647","178","521","47","54","43","2","1066"
"SDP","87","75","4.03","599","162","3","2","44","76","20","1441.0","6135","1460","705","645","184","422","39","48","27","2","1079"
"MIN","92","70","4.04","597","162","4","4","48","48","20","1476.0","6269","1523","715","663","167","431","27","54","45","1","1123"
"HOU","92","70","4.05","655","162","2","2","47","74","23","1443.0","6201","1416","698","650","174","525","61","68","45","3","1282"
"FLA","83","79","4.10","566","162","6","3","53","54","22","1439.0","6110","1395","700","655","166","513","61","51","35","3","1116"
"NYM","71","91","4.10","636","162","2","2","31","70","21","1449.0","6333","1452","731","660","156","592","70","49","30","8","977"
"OAK","91","71","4.17","576","162","10","3","35","71","28","1471.1","6313","1466","742","682","164","544","49","68","39","5","1034"
"BOS","98","64","4.19","599","162","4","1","36","53","13","1451.1","6222","1430","768","676","159","447","28","92","39","1","1132"
"MIL","67","94","4.26","584","161","6","1","42","59","22","1442.0","6204","1440","757","683","164","476","27","51","59","5","1098"
"ANA","92","70","4.28","505","162","2","2","50","54","17","1454.1","6246","1476","734","692","170","502","27","44","61","7","1164"
"PIT","72","89","4.31","625","161","3","2","46","76","23","1428.0","6197","1451","744","684","149","576","64","63","45","3","1079"
"MON","67","95","4.33","624","162","11","4","31","59","18","1447.0","6307","1477","769","696","191","582","78","79","43","2","1032"
"SFG","91","71","4.34","683","162","8","5","46","87","28","1457.0","6321","1481","770","703","161","548","35","47","52","2","1020"
"PHI","86","76","4.47","638","162","4","4","43","82","25","1462.2","6308","1488","781","726","214","502","60","66","40","3","1070"
"TEX","89","73","4.54","630","162","5","2","52","76","14","1439.2","6345","1536","794","727","182","547","29","81","34","11","979"
"NYY","101","61","4.69","598","162","1","0","59","70","17","1443.2","6240","1532","808","752","182","445","32","60","57","4","1058"
"BAL","78","84","4.71","614","162","8","4","27","54","20","1455.1","6459","1488","830","761","159","687","43","62","68","9","1090"
"SEA","63","99","4.76","576","162","7","2","28","42","21","1459.1","6389","1498","823","772","212","575","32","72","45","7","1036"
"CLE","80","82","4.82","641","162","8","3","32","55","28","1466.2","6450","1553","857","785","201","579","47","62","43","6","1115"
"TBD","70","91","4.82","562","161","3","0","35","46","10","1417.0","6261","1459","842","759","192","580","35","93","55","7","923"
"CHW","83","79","4.91","561","162","8","2","34","57","12","1432.1","6189","1505","831","782","224","527","36","48","43","3","1013"
"DET","72","90","4.93","594","162","7","4","35","58","28","1439.2","6296","1542","844","788","190","530","33","54","71","6","995"
"TOR","67","94","4.93","592","161","6","4","37","47","16","1421.0","6281","1505","823","778","181","608","47","58","60","11","956"
"ARI","51","111","4.98","633","162","5","2","33","55","22","1436.0","6418","1480","899","795","197","668","79","75","71","8","1153"
"KCR","58","104","5.16","571","162","6","2","25","48","22","1420.1","6320","1638","905","815","208","518","49","56","60","10","887"
"CIN","76","86","5.21","659","162","5","2","47","80","30","1443.2","6451","1595","907","836","236","572","55","54","74","3","992"
"COL","68","94","5.54","635","162","3","0","36","67","34","1435.1","6535","1634","923","883","198","697","84","71","66","6","947"
